HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Feyenoord,Volendam,3,1,2,0,10,1,0,0,0,0
Telstar,Excelsior,2,2,2,1,3,5,0,2,0,0
Heracles,Zwolle,8,2,4,1,4,2,0,3,0,1
Groningen,Twente,1,1,0,0,7,3,2,4,0,0
Sparta Rotterdam,AZ Alkmaar,0,1,0,0,6,9,1,1,0,0
Utrecht,Nijmegen,1,0,1,0,2,2,1,2,0,0
Twente,Telstar,0,0,0,0,10,2,4,2,1,1
Excelsior,Heracles,1,2,1,0,6,13,1,2,0,0
Volendam,NAC Breda,2,1,0,1,8,6,2,2,0,2
For Sittard,Heerenveen,2,0,0,0,4,5,2,1,0,0
Zwolle,Sparta Rotterdam,1,0,1,0,3,6,2,4,0,1
Utrecht,Ajax,2,1,1,0,6,4,1,0,0,0
Nijmegen,Groningen,2,0,0,0,9,3,1,1,0,0
AZ Alkmaar,PSV Eindhoven,1,5,1,3,4,6,2,1,0,0
Go Ahead Eagles,Feyenoord,2,1,1,0,4,7,2,1,0,0
NAC Breda,PSV Eindhoven,0,1,0,1,6,5,2,1,0,0
Ajax,Excelsior,1,2,0,1,9,2,2,1,0,0
Volendam,Twente,1,1,0,0,4,4,0,3,0,0
Heracles,Go Ahead Eagles,4,2,1,2,6,3,1,3,0,1
Sparta Rotterdam,For Sittard,1,1,1,0,7,5,1,1,0,0
Heerenveen,AZ Alkmaar,3,1,2,0,8,5,1,0,0,0
Feyenoord,Nijmegen,2,4,1,1,7,6,1,0,0,0
Telstar,Utrecht,1,1,0,0,1,8,2,2,0,0
Groningen,Zwolle,2,2,1,1,13,0,1,3,0,1
Zwolle,Heerenveen,2,1,2,1,3,9,3,2,0,0
Excelsior,NAC Breda,1,0,1,0,1,6,4,1,0,0
For Sittard,Heracles,1,1,1,0,11,3,3,5,0,0
Nijmegen,Sparta Rotterdam,3,1,2,0,7,6,2,4,0,0
PSV Eindhoven,Volendam,3,0,2,0,5,2,0,0,0,0
Go Ahead Eagles,Utrecht,2,2,0,1,4,3,2,2,0,0
