HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Dundee United,Hibernian,1,1,1,1,5,7,2,2,0,0
Kilmarnock,Falkirk,0,1,0,0,2,2,2,1,0,0
Motherwell,Dundee,1,0,0,0,2,3,1,2,0,0
St Mirren,Livingston,1,0,0,0,7,4,0,1,0,0
Hearts,Rangers,2,1,2,0,6,10,2,1,0,0
Celtic,Aberdeen,3,1,1,0,8,4,1,2,0,0
Hibernian,Hearts,3,2,2,0,3,8,1,0,0,0
Dundee,Falkirk,1,0,1,0,1,9,3,2,0,0
Livingston,Celtic,2,4,2,4,11,4,1,0,0,0
Rangers,Motherwell,1,0,0,0,5,1,3,1,0,0
St Mirren,Kilmarnock,0,0,0,0,11,4,1,0,0,0
Aberdeen,Dundee United,1,1,0,1,9,5,2,3,0,0
Dundee,Kilmarnock,2,1,0,1,7,5,2,4,0,0
Hibernian,Aberdeen,2,0,0,0,4,5,1,2,0,0
Livingston,Dundee United,1,3,0,1,2,7,4,0,0,0
Rangers,St Mirren,2,1,1,0,5,4,1,2,0,0
Motherwell,Celtic,2,0,1,0,1,3,0,4,0,0
Celtic,Rangers,1,3,1,0,8,5,0,3,0,0
Dundee United,Dundee,0,1,0,1,8,2,2,1,0,0
Falkirk,Aberdeen,1,0,0,0,5,4,2,4,0,0
Hearts,Livingston,1,0,1,0,7,3,0,3,0,0
Kilmarnock,Hibernian,1,3,0,1,5,3,3,3,1,0
Motherwell,St Mirren,2,0,1,0,9,8,0,4,0,0
Rangers,Aberdeen,2,0,2,0,7,4,0,2,0,0
Celtic,Dundee United,4,0,2,0,12,3,1,0,0,0
Hibernian,Motherwell,1,1,0,0,4,4,2,5,0,0
Livingston,Kilmarnock,1,1,1,0,7,5,4,1,0,0
St Mirren,Falkirk,0,2,0,0,4,8,2,1,0,0
Dundee,Hearts,0,1,0,1,6,4,2,0,0,1
Aberdeen,Rangers,0,2,0,1,6,6,2,3,0,0
Falkirk,Celtic,0,1,0,1,3,4,0,1,0,0
Hearts,St Mirren,2,0,0,0,3,5,0,1,1,0
Livingston,St Mirren,1,1,0,0,3,4,3,3,0,0
Aberdeen,Livingston,6,2,3,2,8,2,4,2,1,1
Falkirk,Hibernian,4,1,2,0,7,4,2,2,0,0
Motherwell,Kilmarnock,4,0,2,0,2,1,0,0,0,1
Hearts,Celtic,2,2,0,1,2,2,3,6,0,1
Rangers,Dundee,3,0,0,0,7,1,1,1,0,0
Kilmarnock,Aberdeen,3,0,2,0,7,3,3,3,0,1
Livingston,Motherwell,0,2,0,2,7,7,1,0,0,0
St Mirren,Dundee,0,0,0,0,5,6,0,0,1,0
Dundee United,Hearts,0,3,0,2,0,6,3,1,2,0
Hibernian,Rangers,0,0,0,0,9,8,3,2,0,0
Celtic,Falkirk,2,0,1,0,9,4,0,2,0,0
St Mirren,Hearts,1,0,0,0,7,2,1,1,0,1
Hibernian,Dundee United,3,2,1,0,4,6,2,0,0,0
Livingston,Falkirk,1,2,0,2,6,4,3,4,0,0
Rangers,Kilmarnock,5,1,1,0,10,1,1,1,0,0
Hearts,Hibernian,1,0,0,0,4,8,0,3,0,0
Celtic,Livingston,2,1,1,0,10,3,2,3,0,0
Falkirk,Dundee,1,0,0,0,4,4,3,1,0,0
Kilmarnock,St Mirren,4,3,2,1,9,4,1,3,0,0
Motherwell,Rangers,1,1,0,1,6,3,2,5,0,0
Dundee,Livingston,2,2,2,2,10,2,2,2,0,0
Falkirk,Dundee United,2,3,1,1,4,5,0,3,1,0
Hibernian,St Mirren,2,0,1,0,6,8,0,3,0,0
Kilmarnock,Celtic,2,3,2,0,6,7,1,3,0,0
Motherwell,Aberdeen,2,0,1,0,4,2,1,6,0,0
Rangers,Hearts,4,2,2,2,7,3,4,3,0,0
Aberdeen,Dundee,2,3,1,2,2,9,3,2,1,0
Dundee United,Kilmarnock,1,1,0,0,6,3,1,3,0,1
Hearts,Falkirk,1,0,1,0,8,4,1,3,0,0
St Mirren,Motherwell,0,5,0,2,4,7,4,0,1,0
Celtic,Hibernian,1,2,1,1,11,1,2,1,1,0
Livingston,Rangers,2,2,1,0,3,15,3,2,1,0
Dundee United,Aberdeen,0,0,0,0,4,6,0,0,0,0
Dundee,Hibernian,3,3,1,1,6,6,1,4,0,0
Falkirk,Kilmarnock,5,1,3,1,3,2,3,2,0,0
Hearts,Aberdeen,1,0,1,0,7,4,3,5,0,0
Livingston,St Mirren,1,1,0,1,7,2,1,2,0,0
Motherwell,Dundee United,2,0,1,0,5,3,2,3,0,0
Rangers,Celtic,2,2,2,0,6,7,2,1,0,0
Dundee United,St Mirren,2,1,1,0,8,4,2,1,0,0
Aberdeen,Celtic,1,2,1,1,6,6,2,2,0,0
Dundee,Motherwell,2,1,1,0,3,1,4,2,0,0
Aberdeen,Falkirk,1,1,0,0,4,10,1,0,0,0
Celtic,Motherwell,3,1,1,1,2,3,4,2,0,1
Hibernian,Livingston,0,0,0,0,12,0,2,1,0,0
Kilmarnock,Hearts,1,0,1,0,2,9,2,2,0,0
St Mirren,Rangers,0,1,0,1,1,11,0,1,0,0
Dundee,Dundee United,2,2,0,0,4,7,1,4,0,0
Hearts,Rangers,0,0,0,0,8,7,3,1,0,0
Motherwell,Ross County,0,0,0,0,9,3,0,2,0,0
Dundee United,Dundee,2,2,2,1,5,6,2,0,0,0
St Mirren,Hibernian,3,0,0,0,4,8,3,1,0,0
Celtic,Kilmarnock,4,0,2,0,10,1,0,2,0,0
St Johnstone,Aberdeen,1,2,0,1,12,7,2,1,0,0
Rangers,Motherwell,2,1,2,1,6,4,2,0,0,0
Ross County,Dundee United,1,1,0,0,7,5,1,2,0,0
Dundee,Hearts,3,1,3,0,2,10,3,4,0,0
Hibernian,Celtic,0,2,0,2,3,5,2,1,0,0
Aberdeen,St Mirren,3,1,1,1,6,2,2,3,0,0
Kilmarnock,St Johnstone,0,3,0,2,4,4,3,4,1,0
Dundee United,St Johnstone,2,0,0,0,2,6,2,2,0,1
Hibernian,Dundee,2,2,1,1,5,4,4,4,0,0
Rangers,Ross County,6,0,2,0,5,0,1,3,0,0
St Mirren,Celtic,0,3,0,2,2,10,2,1,0,0
Aberdeen,Kilmarnock,2,0,1,0,8,6,3,0,0,1
Motherwell,Hearts,3,1,1,0,8,7,1,4,0,0
Dundee,St Mirren,2,2,1,2,6,1,2,4,0,0
St Johnstone,Motherwell,1,2,0,1,4,13,1,0,1,0
Ross County,Aberdeen,0,1,0,0,1,12,3,1,0,0
Celtic,Rangers,3,0,2,0,7,4,4,5,0,0
Hearts,Dundee United,0,1,0,0,6,4,2,4,0,0
Kilmarnock,Hibernian,1,1,0,0,4,7,2,3,0,0
