HomeTeam,AwayTeam,FTHG,FTAG
Dundalk,Shamrock Rovers,0,0
St. Patricks,Drogheda,1,0
Limerick,Cork City,0,0
Shamrock Rovers,St. Patricks,3,0
Cork City,Bohemians,2,1
Drogheda,Limerick,2,2
UC Dublin,Derry City,0,6
Shelbourne,Dundalk,1,3
Sligo Rovers,Bray,3,0
Bohemians,Shamrock Rovers,0,0
Derry City,Drogheda,1,1
Dundalk,Sligo Rovers,1,3
Limerick,UC Dublin,3,1
Sligo Rovers,Limerick,2,1
UC Dublin,Dundalk,1,2
Drogheda,Bray,2,1
Cork City,Derry City,0,1
Shelbourne,Shamrock Rovers,0,0
Dundalk,Drogheda,2,2
Bohemians,Sligo Rovers,0,3
Bray,UC Dublin,2,2
Derry City,Shelbourne,4,0
Shamrock Rovers,Cork City,1,1
Limerick,St. Patricks,0,1
Derry City,Bray,2,0
Drogheda,Cork City,1,1
Shelbourne,Bohemians,0,1
UC Dublin,Sligo Rovers,0,3
Limerick,Shamrock Rovers,1,1
St. Patricks,Dundalk,1,2
Bohemians,Derry City,0,4
Bray,St. Patricks,0,1
Cork City,UC Dublin,2,1
Dundalk,Limerick,2,2
Shamrock Rovers,Drogheda,1,1
Sligo Rovers,Shelbourne,2,0
Dundalk,Derry City,1,3
UC Dublin,St. Patricks,0,1
Shamrock Rovers,Bray,7,0
Shelbourne,Drogheda,1,3
Sligo Rovers,Cork City,2,0
St. Patricks,Shelbourne,4,0
Limerick,Bohemians,2,1
St. Patricks,Sligo Rovers,2,0
Bohemians,Dundalk,0,2
Cork City,Shelbourne,1,1
Derry City,Shamrock Rovers,2,1
Drogheda,UC Dublin,3,2
Bray,Limerick,0,4
Dundalk,Cork City,2,0
Bohemians,Bray,3,2
St. Patricks,Derry City,1,1
UC Dublin,Shamrock Rovers,2,0
Limerick,Shelbourne,0,0
Sligo Rovers,Drogheda,2,2
Bray,Cork City,1,2
St. Patricks,Bohemians,1,1
Bray,Dundalk,0,1
Cork City,St. Patricks,0,2
Derry City,Limerick,2,1
Drogheda,Bohemians,2,2
Shamrock Rovers,Sligo Rovers,1,1
Shelbourne,UC Dublin,2,0
Drogheda,St. Patricks,1,2
Cork City,Limerick,2,3
Sligo Rovers,Derry City,3,0
Shamrock Rovers,Dundalk,1,0
Shelbourne,Bray,1,2
UC Dublin,Bohemians,1,0
Bohemians,Cork City,1,2
Bray,Sligo Rovers,0,0
Derry City,UC Dublin,2,4
Dundalk,Shelbourne,1,0
Limerick,Drogheda,0,1
St. Patricks,Shamrock Rovers,0,0
Shamrock Rovers,Bohemians,1,1
Cork City,Bray,1,3
Drogheda,Derry City,2,3
UC Dublin,Limerick,1,1
Shelbourne,St. Patricks,0,3
Limerick,Sligo Rovers,0,0
Bohemians,St. Patricks,0,2
Bray,Drogheda,3,2
Derry City,Cork City,1,1
Dundalk,UC Dublin,2,3
Shamrock Rovers,Shelbourne,1,0
Sligo Rovers,Dundalk,0,1
St. Patricks,UC Dublin,5,0
St. Patricks,Limerick,3,0
Sligo Rovers,Bohemians,0,0
UC Dublin,Bray,4,5
Shelbourne,Derry City,0,1
Cork City,Shamrock Rovers,1,2
Drogheda,Dundalk,0,1
Bohemians,Shelbourne,0,3
Bray,Derry City,2,3
Cork City,Drogheda,1,0
Dundalk,St. Patricks,2,1
Shamrock Rovers,Limerick,1,0
Sligo Rovers,UC Dublin,5,2
Derry City,Bohemians,2,1
Drogheda,Shamrock Rovers,0,3
St. Patricks,Bray,2,0
UC Dublin,Cork City,3,0
Shelbourne,Sligo Rovers,0,2
Limerick,Dundalk,3,2
Bohemians,Limerick,0,1
Bray,Shamrock Rovers,0,0
Cork City,Sligo Rovers,3,1
Derry City,Dundalk,0,1
Drogheda,Shelbourne,0,0
Limerick,Bray,4,4
Dundalk,Bohemians,3,0
Shamrock Rovers,Derry City,2,1
Shelbourne,Cork City,2,1
Sligo Rovers,St. Patricks,1,1
UC Dublin,Drogheda,2,2
Bray,Bohemians,1,3
Shamrock Rovers,UC Dublin,1,1
Shelbourne,Limerick,2,1
Cork City,Dundalk,2,2
Bohemians,Drogheda,1,1
Dundalk,Bray,1,0
St. Patricks,Cork City,2,1
UC Dublin,Shelbourne,1,2
Sligo Rovers,Shamrock Rovers,0,0
Limerick,Derry City,0,1
Bohemians,UC Dublin,1,3
Derry City,Sligo Rovers,1,2
Dundalk,Shamrock Rovers,3,1
Limerick,Cork City,2,1
St. Patricks,Drogheda,0,0
Bray,Shelbourne,1,1
Cork City,Bohemians,1,0
Drogheda,Limerick,3,0
UC Dublin,Derry City,1,3
Shamrock Rovers,St. Patricks,0,4
Shelbourne,Dundalk,1,2
