HomeTeam,AwayTeam,FTHG,FTAG
Atlas,Club Tijuana,1,0
UNAM Pumas,Guadalajara Chivas,1,1
Atlante,Toluca,0,1
Monarcas,Club America,1,1
Cruz Azul,Chiapas,1,1
Club Tijuana,Queretaro,0,1
Monterrey,Club Leon,2,1
Santos Laguna,Atlante,2,1
Atl. San Luis,Tigres UANL,1,2
Toluca,Atlas,0,1
Puebla,UNAM Pumas,0,1
Guadalajara Chivas,Pachuca,1,0
Chiapas,Monarcas,1,1
Club America,Atl. San Luis,1,1
Queretaro,Toluca,1,0
Pachuca,Puebla,2,1
Tigres UANL,Guadalajara Chivas,1,1
Atlas,Santos Laguna,1,2
Club Tijuana,Monterrey,2,2
UNAM Pumas,Club Leon,0,0
Atlante,Cruz Azul,0,3
Cruz Azul,Atlas,1,2
Toluca,Club Tijuana,1,0
Monarcas,Atlante,4,0
Monterrey,UNAM Pumas,3,0
Santos Laguna,Queretaro,1,1
Club Leon,Pachuca,0,0
Atl. San Luis,Chiapas,3,0
Puebla,Tigres UANL,1,2
Guadalajara Chivas,Club America,0,2
Chiapas,Guadalajara Chivas,3,2
Club America,Puebla,1,1
Queretaro,Cruz Azul,1,2
Pachuca,UNAM Pumas,1,2
Tigres UANL,Club Leon,0,0
Atlas,Monarcas,0,0
Club Tijuana,Santos Laguna,0,0
Toluca,Monterrey,1,0
Atlante,Atl. San Luis,0,1
Santos Laguna,Toluca,2,1
Monarcas,Queretaro,1,0
Cruz Azul,Club Tijuana,5,0
Monterrey,Pachuca,2,0
Club Leon,Club America,1,1
Atl. San Luis,Atlas,2,2
Puebla,Chiapas,1,2
UNAM Pumas,Tigres UANL,2,1
Guadalajara Chivas,Atlante,1,2
Chiapas,Club Leon,2,2
Santos Laguna,Monterrey,1,0
Queretaro,Atl. San Luis,2,1
Atlas,Guadalajara Chivas,1,0
Club Tijuana,Monarcas,1,2
Tigres UANL,Pachuca,3,1
Club America,UNAM Pumas,1,0
Toluca,Cruz Azul,0,2
Atlante,Puebla,2,0
Monarcas,Toluca,2,1
Cruz Azul,Santos Laguna,1,0
Pachuca,Club America,2,4
Tigres UANL,Monterrey,0,1
Club Leon,Atlante,1,0
Atl. San Luis,Club Tijuana,1,0
Puebla,Atlas,1,1
UNAM Pumas,Chiapas,3,0
Guadalajara Chivas,Queretaro,1,2
Chiapas,Pachuca,2,1
Club Tijuana,Guadalajara Chivas,4,0
Club America,Tigres UANL,0,2
Monterrey,Cruz Azul,1,5
Santos Laguna,Monarcas,1,2
Atlas,Club Leon,0,1
Queretaro,Puebla,2,3
Toluca,Atl. San Luis,0,1
Atlante,UNAM Pumas,1,2
Monterrey,Tigres UANL,1,0
UNAM Pumas,Club America,0,1
Santos Laguna,Atlas,0,0
Cruz Azul,Monarcas,4,2
Club America,UNAM Pumas,2,1
Tigres UANL,Monterrey,1,1
Monarcas,Cruz Azul,1,0
Atlas,Santos Laguna,1,3
Monterrey,Club America,2,2
Santos Laguna,Cruz Azul,0,3
Club America,Monterrey,2,1
Cruz Azul,Santos Laguna,2,1
Cruz Azul,Club America,1,0
Club America,Cruz Azul,2,1
Queretaro,Monarcas,1,3
Club Tijuana,Atlas,3,3
Cruz Azul,Monterrey,1,0
Veracruz,Chiapas,2,2
Club Leon,Atlante,1,0
Puebla,UNAM Pumas,1,1
Toluca,Pachuca,0,1
Monarcas,Toluca,3,4
Santos Laguna,Cruz Azul,3,2
Atlante,Veracruz,2,4
Monterrey,Puebla,1,1
Pachuca,Tigres UANL,2,1
Atlas,Club Leon,1,2
Chiapas,Guadalajara Chivas,1,1
UNAM Pumas,Queretaro,0,3
Cruz Azul,Chiapas,1,1
Atlante,Atlas,1,1
Club Tijuana,Pachuca,1,0
Guadalajara Chivas,Veracruz,0,2
Puebla,Santos Laguna,1,1
Queretaro,Monterrey,3,3
Toluca,UNAM Pumas,0,0
Tigres UANL,Monarcas,1,2
Club Leon,Club America,1,1
Club America,Atlas,3,0
Veracruz,Cruz Azul,3,2
Monarcas,Club Tijuana,2,1
Monterrey,Toluca,1,1
Pachuca,Club Leon,1,1
Santos Laguna,Queretaro,2,0
Chiapas,Puebla,4,2
UNAM Pumas,Tigres UANL,0,2
Guadalajara Chivas,Atlante,1,0
Queretaro,Chiapas,1,1
Club Tijuana,UNAM Pumas,2,0
Cruz Azul,Guadalajara Chivas,3,1
Atlante,Club America,2,4
Tigres UANL,Monterrey,3,1
Club Leon,Monarcas,0,0
Atlas,Pachuca,1,1
Puebla,Veracruz,0,0
Toluca,Santos Laguna,2,2
Monarcas,Atlas,2,0
Santos Laguna,Tigres UANL,3,0
Cruz Azul,Atlante,1,0
Veracruz,Queretaro,0,0
Monterrey,Club Tijuana,2,1
Pachuca,Club America,0,1
Chiapas,Toluca,0,4
UNAM Pumas,Club Leon,1,1
Guadalajara Chivas,Puebla,2,4
Queretaro,Guadalajara Chivas,2,0
Club Tijuana,Santos Laguna,1,1
Club America,Monarcas,3,1
Atlante,Pachuca,1,1
Tigres UANL,Chiapas,2,2
Club Leon,Monterrey,3,1
Atlas,UNAM Pumas,1,1
Puebla,Cruz Azul,1,2
Toluca,Veracruz,3,1
Monarcas,Pachuca,4,1
Santos Laguna,Club Leon,0,2
Cruz Azul,Queretaro,0,2
Veracruz,Tigres UANL,1,1
Monterrey,Atlas,0,0
Chiapas,Club Tijuana,3,1
Puebla,Atlante,1,0
Guadalajara Chivas,Toluca,0,0
UNAM Pumas,Club America,1,4
Queretaro,Puebla,1,0
Club America,Monterrey,1,0
Atlante,Monarcas,2,2
Pachuca,UNAM Pumas,0,0
Tigres UANL,Guadalajara Chivas,3,3
Club Leon,Chiapas,0,1
Atlas,Santos Laguna,2,2
Club Tijuana,Veracruz,3,0
Toluca,Cruz Azul,1,2
Queretaro,Atlante,1,0
Santos Laguna,Club America,2,1
Cruz Azul,Tigres UANL,0,1
Veracruz,Club Leon,0,1
Monterrey,Pachuca,1,0
Chiapas,Atlas,3,0
Puebla,Toluca,1,1
UNAM Pumas,Monarcas,0,1
Guadalajara Chivas,Club Tijuana,2,2
Monarcas,Monterrey,1,3
Club Tijuana,Cruz Azul,0,0
Club America,Chiapas,3,1
Atlante,UNAM Pumas,1,0
Pachuca,Santos Laguna,1,1
Tigres UANL,Puebla,0,0
Club Leon,Guadalajara Chivas,2,1
Atlas,Veracruz,3,3
Toluca,Queretaro,4,0
Queretaro,Tigres UANL,2,2
Santos Laguna,Monarcas,3,1
Cruz Azul,Club Leon,1,0
Veracruz,Club America,0,1
Monterrey,UNAM Pumas,0,1
Chiapas,Pachuca,2,1
Puebla,Club Tijuana,2,0
Toluca,Atlante,7,1
Guadalajara Chivas,Atlas,1,1
Club America,Club Tijuana,2,0
Monarcas,Chiapas,2,1
Club Tijuana,Queretaro,1,0
Club America,Guadalajara Chivas,2,0
Atlante,Monterrey,2,1
Pachuca,Veracruz,1,1
Tigres UANL,Toluca,1,2
Club Leon,Puebla,3,1
Atlas,Cruz Azul,1,2
UNAM Pumas,Santos Laguna,0,1
Queretaro,Club Leon,2,0
Santos Laguna,Monterrey,3,2
Cruz Azul,Club America,1,1
Veracruz,Monarcas,1,0
Tigres UANL,Atlante,3,1
Chiapas,UNAM Pumas,1,1
Puebla,Atlas,2,0
Toluca,Club Tijuana,0,0
Guadalajara Chivas,Pachuca,1,3
Monarcas,Guadalajara Chivas,1,1
Club Tijuana,Tigres UANL,0,0
Club America,Puebla,3,1
Atlante,Santos Laguna,1,3
Monterrey,Chiapas,1,1
Pachuca,Cruz Azul,0,0
Club Leon,Toluca,2,2
Atlas,Queretaro,3,1
UNAM Pumas,Veracruz,0,0
Tigres UANL,Club America,1,0
Guadalajara Chivas,Santos Laguna,0,2
Queretaro,Club America,0,0
Club Tijuana,Atlante,4,1
Cruz Azul,Monarcas,1,0
Veracruz,Monterrey,0,3
Tigres UANL,Club Leon,1,1
Chiapas,Santos Laguna,2,1
Puebla,Pachuca,1,1
Toluca,Atlas,1,1
Guadalajara Chivas,UNAM Pumas,1,0
Monarcas,Puebla,1,0
Santos Laguna,Veracruz,2,2
Club America,Toluca,1,1
Atlante,Chiapas,2,0
Monterrey,Guadalajara Chivas,2,1
Pachuca,Queretaro,0,1
Club Leon,Club Tijuana,5,0
Atlas,Tigres UANL,0,1
UNAM Pumas,Cruz Azul,2,2
Toluca,Cruz Azul,3,0
Monarcas,Club Leon,3,3
Tigres UANL,Club America,2,2
Queretaro,Santos Laguna,2,3
Cruz Azul,Toluca,1,1
Club Leon,Monarcas,4,0
Club America,Tigres UANL,1,1
Santos Laguna,Queretaro,3,1
Toluca,Club America,2,1
Club Leon,Santos Laguna,3,1
Club America,Toluca,2,0
Santos Laguna,Club Leon,2,2
Club Leon,Club America,2,0
Club America,Club Leon,1,3
Monarcas,Queretaro,0,1
Santos Laguna,Guadalajara Chivas,1,1
Club America,Tigres UANL,3,0
Monterrey,Cruz Azul,0,0
Pachuca,Toluca,0,1
Atlas,Club Tijuana,0,0
Chiapas,Veracruz,1,1
UNAM Pumas,Puebla,2,2
Atlante,Club Leon,1,1
Queretaro,UNAM Pumas,1,0
Club Tijuana,Club America,1,0
Cruz Azul,Santos Laguna,2,1
Veracruz,Atlante,2,1
Tigres UANL,Pachuca,0,0
Club Leon,Atlas,3,1
Puebla,Monterrey,1,1
Toluca,Monarcas,2,2
Guadalajara Chivas,Chiapas,1,0
Monarcas,Tigres UANL,2,0
Santos Laguna,Puebla,0,0
Club America,Club Leon,1,0
Veracruz,Guadalajara Chivas,1,1
Monterrey,Queretaro,3,1
Pachuca,Club Tijuana,2,1
Atlas,Atlante,0,1
Chiapas,Cruz Azul,0,1
UNAM Pumas,Toluca,0,2
Queretaro,Santos Laguna,0,0
Club Tijuana,Monarcas,1,0
Cruz Azul,Veracruz,4,0
Tigres UANL,UNAM Pumas,1,2
Club Leon,Pachuca,1,3
Atlas,Club America,1,2
Puebla,Chiapas,2,3
Toluca,Monterrey,2,0
Atlante,Guadalajara Chivas,1,1
Monarcas,Club Leon,0,0
Club America,Atlante,1,0
Santos Laguna,Toluca,2,0
Veracruz,Puebla,0,1
Guadalajara Chivas,Cruz Azul,0,2
Monterrey,Tigres UANL,0,0
Pachuca,Atlas,0,1
Chiapas,Queretaro,1,0
UNAM Pumas,Club Tijuana,3,0
Club Tijuana,Monterrey,2,1
Club America,Pachuca,0,1
Tigres UANL,Santos Laguna,1,1
Club Leon,UNAM Pumas,1,2
Atlas,Monarcas,1,1
Puebla,Guadalajara Chivas,0,1
Toluca,Chiapas,2,0
Atlante,Cruz Azul,1,4
Queretaro,Veracruz,2,0
Monarcas,Club America,1,0
Santos Laguna,Club Tijuana,3,2
Cruz Azul,Puebla,1,0
Veracruz,Toluca,0,3
Monterrey,Club Leon,0,2
Pachuca,Atlante,0,1
Chiapas,Tigres UANL,0,0
UNAM Pumas,Atlas,1,1
Guadalajara Chivas,Queretaro,2,1
Queretaro,Cruz Azul,1,3
Club Tijuana,Chiapas,0,3
Club America,UNAM Pumas,1,3
Pachuca,Monarcas,3,0
Tigres UANL,Veracruz,1,0
Club Leon,Santos Laguna,4,2
Atlas,Monterrey,0,1
Toluca,Guadalajara Chivas,1,0
Atlante,Puebla,0,0
Monarcas,Atlante,1,2
Santos Laguna,Atlas,2,3
Cruz Azul,Toluca,1,0
Veracruz,Club Tijuana,1,1
Monterrey,Club America,1,2
Chiapas,Club Leon,0,3
Puebla,Queretaro,1,0
UNAM Pumas,Pachuca,0,0
Guadalajara Chivas,Tigres UANL,0,0
Monarcas,UNAM Pumas,3,1
Club Leon,Veracruz,0,1
Toluca,Puebla,3,0
Club Tijuana,Guadalajara Chivas,2,0
Club America,Santos Laguna,2,4
Pachuca,Monterrey,2,0
Tigres UANL,Cruz Azul,3,0
Atlas,Chiapas,2,2
Atlante,Queretaro,4,2
Queretaro,Toluca,0,2
Cruz Azul,Club Tijuana,2,1
Veracruz,Atlas,0,1
Monterrey,Monarcas,0,1
Santos Laguna,Pachuca,3,1
Chiapas,Club America,2,2
Puebla,Tigres UANL,0,1
UNAM Pumas,Atlante,5,0
Guadalajara Chivas,Club Leon,1,0
Monarcas,Santos Laguna,2,2
Club Tijuana,Puebla,3,1
Club America,Veracruz,0,0
Pachuca,Chiapas,2,0
Tigres UANL,Queretaro,0,2
Club Leon,Cruz Azul,0,0
Atlas,Guadalajara Chivas,1,1
UNAM Pumas,Monterrey,1,2
Atlante,Toluca,2,1
Queretaro,Club Tijuana,2,1
Santos Laguna,UNAM Pumas,2,1
Cruz Azul,Atlas,1,3
Veracruz,Pachuca,3,1
Monterrey,Atlante,3,2
Toluca,Tigres UANL,2,1
Chiapas,Monarcas,1,0
Puebla,Club Leon,1,1
Guadalajara Chivas,Club America,0,4
Monarcas,Veracruz,1,1
Club Tijuana,Toluca,3,1
Club America,Cruz Azul,1,2
Monterrey,Santos Laguna,2,2
Pachuca,Guadalajara Chivas,1,3
Club Leon,Queretaro,1,1
Atlas,Puebla,0,0
UNAM Pumas,Chiapas,2,1
Atlante,Tigres UANL,0,2
Queretaro,Atlas,1,0
Cruz Azul,Pachuca,2,2
