HomeTeam,AwayTeam,FTHG,FTAG
Tromso,Haugesund,2,0
Viking,Sogndal,2,1
Stromsgodset,Molde,1,1
Fredrikstad,Brann,3,4
Haugesund,Stromsgodset,2,3
Sandnes,Fredrikstad,5,1
Odd,Honefoss,4,0
Sogndal,Aalesund,1,1
Stabaek,Viking,0,1
Valerenga,Tromso,1,0
Molde,Rosenborg,2,0
Brann,Lillestrom,2,3
Fredrikstad,Odd,4,2
Tromso,Molde,1,1
Aalesund,Haugesund,2,2
Honefoss,Sandnes,1,1
Lillestrom,Stabaek,6,0
Viking,Brann,2,1
Stromsgodset,Rosenborg,2,1
Sogndal,Valerenga,1,0
Sandnes,Tromso,5,1
Brann,Tromso,0,2
Haugesund,Viking,1,0
Molde,Honefoss,1,0
Odd,Aalesund,3,0
Rosenborg,Fredrikstad,0,1
Sandnes,Stromsgodset,2,1
Stabaek,Sogndal,2,1
Valerenga,Lillestrom,1,2
Aalesund,Sandnes,3,1
Fredrikstad,Molde,0,2
Honefoss,Rosenborg,1,4
Lillestrom,Haugesund,0,0
Sogndal,Brann,2,0
Stromsgodset,Stabaek,3,1
Tromso,Odd,0,1
Viking,Valerenga,2,1
Ull/Kisa,Sandnes,0,4
Sandnes,Ull/Kisa,3,1
Viking,Molde,2,1
Aalesund,Haugesund,3,0
Brann,Valerenga,3,1
Lillestrom,Sarpsborg 08,2,2
Sogndal,Tromso,2,2
Start,Honefoss,3,2
Stromsgodset,Sandnes,2,0
Odd,Rosenborg,0,1
Tromso,Odd,2,1
Rosenborg,Brann,4,0
Sandnes,Aalesund,0,1
Sarpsborg 08,Viking,2,1
Valerenga,Sogndal,1,0
Honefoss,Stromsgodset,2,0
Molde,Lillestrom,1,2
Odd,Valerenga,2,0
Start,Tromso,2,2
Brann,Molde,1,0
Stromsgodset,Sarpsborg 08,1,1
Aalesund,Honefoss,4,3
Lillestrom,Viking,0,1
Sandnes,Haugesund,1,1
Sogndal,Rosenborg,0,4
Rosenborg,Start,1,1
Molde,Sogndal,1,2
Valerenga,Stromsgodset,0,3
Sarpsborg 08,Aalesund,0,2
Honefoss,Haugesund,0,1
Tromso,Sandnes,0,1
Viking,Odd,1,0
Lillestrom,Brann,2,0
Start,Valerenga,1,0
Odd,Molde,1,1
Brann,Viking,2,0
Aalesund,Tromso,0,0
Sandnes,Honefoss,1,1
Sogndal,Sarpsborg 08,0,0
Stromsgodset,Lillestrom,1,0
Haugesund,Rosenborg,3,1
Haugesund,Start,3,2
Brann,Odd,2,0
Lillestrom,Start,3,2
Valerenga,Aalesund,2,1
Viking,Sogndal,4,1
Rosenborg,Sandnes,0,1
Sarpsborg 08,Honefoss,1,1
Tromso,Haugesund,2,1
Molde,Stromsgodset,1,2
Sandnes,Valerenga,1,2
Aalesund,Rosenborg,2,2
Odd,Lillestrom,2,1
Haugesund,Sarpsborg 08,0,1
Honefoss,Tromso,1,1
Stromsgodset,Viking,3,1
Sogndal,Brann,3,1
Start,Molde,1,1
Rosenborg,Tromso,2,1
Valerenga,Honefoss,1,2
Viking,Haugesund,0,0
Lillestrom,Sogndal,2,2
Molde,Aalesund,4,1
Odd,Stromsgodset,1,1
