HomeTeam,AwayTeam,FTHG,FTAG
FC Copenhagen,Esbjerg,0,2
Horsens,Silkeborg,2,0
Aarhus,Aalborg,3,0
Brondby,Nordsjaelland,4,0
Esbjerg,Odense,6,2
Randers FC,FC Copenhagen,1,0
Silkeborg,Midtjylland,1,1
Sonderjyske,Horsens,4,2
Aalborg,Randers FC,2,2
FC Copenhagen,Sonderjyske,1,1
Horsens,Brondby,0,1
Midtjylland,Aarhus,3,2
Nordsjaelland,Esbjerg,1,0
Odense,Silkeborg,3,3
Aarhus,Midtjylland,0,2
Viborg,Randers FC,2,2
Odense,Sonderjyske,1,1
Brondby,Vestsjaelland,1,1
Aalborg,FC Copenhagen,2,1
Esbjerg,Nordsjaelland,4,0
Nordsjaelland,Viborg,1,1
Vestsjaelland,Aarhus,0,2
Randers FC,Odense,1,1
Sonderjyske,Brondby,1,0
Midtjylland,FC Copenhagen,1,0
Esbjerg,Aalborg,1,2
Midtjylland,Sonderjyske,2,1
Aarhus,Nordsjaelland,2,1
Odense,Viborg,4,2
FC Copenhagen,Randers FC,1,3
Brondby,Esbjerg,0,2
Vestsjaelland,Aalborg,2,1
Viborg,Brondby,2,2
Esbjerg,Aarhus,5,1
Randers FC,Midtjylland,1,3
Aalborg,Odense,0,0
Nordsjaelland,FC Copenhagen,2,2
Sonderjyske,Vestsjaelland,0,0
Midtjylland,Brondby,5,2
Nordsjaelland,Aalborg,2,1
Vestsjaelland,Odense,1,1
Sonderjyske,Viborg,0,3
FC Copenhagen,Aarhus,1,1
Randers FC,Esbjerg,3,2
Aarhus,Sonderjyske,3,1
Odense,Nordsjaelland,1,0
Viborg,Esbjerg,3,1
FC Copenhagen,Vestsjaelland,1,1
Brondby,Randers FC,0,0
Aalborg,Midtjylland,1,1
Odense,Aarhus,3,6
Nordsjaelland,Vestsjaelland,1,2
Esbjerg,Midtjylland,1,1
Viborg,FC Copenhagen,1,4
Aalborg,Brondby,2,1
Randers FC,Sonderjyske,0,2
Sonderjyske,Aalborg,1,3
FC Copenhagen,Esbjerg,1,1
Aarhus,Viborg,0,1
Vestsjaelland,Randers FC,2,0
Brondby,Odense,2,1
Midtjylland,Nordsjaelland,2,1
Randers FC,Aalborg,3,2
Midtjylland,Viborg,0,0
Sonderjyske,Nordsjaelland,2,0
Aarhus,Brondby,1,3
FC Copenhagen,Odense,2,1
Vestsjaelland,Esbjerg,1,3
Viborg,Vestsjaelland,2,0
Brondby,FC Copenhagen,3,2
Esbjerg,Sonderjyske,4,1
Aalborg,Aarhus,0,0
Odense,Midtjylland,1,1
Nordsjaelland,Randers FC,1,0
Randers FC,Aarhus,2,2
Esbjerg,Odense,1,3
Aalborg,Viborg,3,1
FC Copenhagen,Sonderjyske,2,1
Nordsjaelland,Brondby,1,1
Midtjylland,Vestsjaelland,2,2
Aarhus,Nordsjaelland,0,1
Midtjylland,Randers FC,1,1
Vestsjaelland,Esbjerg,2,1
Brondby,Viborg,0,0
FC Copenhagen,Aalborg,3,0
Sonderjyske,Odense,1,5
Viborg,Vestsjaelland,4,1
Nordsjaelland,Midtjylland,2,1
Aalborg,Sonderjyske,2,0
Randers FC,FC Copenhagen,1,1
Odense,Brondby,0,0
Esbjerg,Aarhus,0,2
Sonderjyske,Randers FC,1,3
FC Copenhagen,Nordsjaelland,4,0
Aalborg,Odense,1,0
Aarhus,Viborg,2,1
Midtjylland,Esbjerg,3,0
Vestsjaelland,Brondby,0,2
Viborg,Midtjylland,2,3
Nordsjaelland,Sonderjyske,3,0
Odense,Vestsjaelland,1,3
Esbjerg,FC Copenhagen,1,1
Brondby,Aarhus,3,0
Randers FC,Aalborg,1,4
Sonderjyske,Esbjerg,1,0
Randers FC,Odense,1,1
Aarhus,Vestsjaelland,2,2
FC Copenhagen,Viborg,4,1
Midtjylland,Brondby,0,1
Aalborg,Nordsjaelland,1,1
Vestsjaelland,Midtjylland,0,1
Viborg,Sonderjyske,2,2
Nordsjaelland,Randers FC,1,1
Odense,Aarhus,4,1
Brondby,FC Copenhagen,1,3
Esbjerg,Aalborg,2,2
Nordsjaelland,Odense,2,0
FC Copenhagen,Vestsjaelland,1,0
Randers FC,Esbjerg,1,0
Midtjylland,Aarhus,3,0
Sonderjyske,Brondby,1,1
Aalborg,Viborg,5,0
Vestsjaelland,Sonderjyske,0,4
Odense,Midtjylland,2,1
Viborg,Randers FC,1,1
Aarhus,FC Copenhagen,1,1
Brondby,Aalborg,2,2
Esbjerg,Nordsjaelland,2,1
Nordsjaelland,Viborg,2,0
Sonderjyske,Aarhus,1,2
Esbjerg,Odense,1,0
Aalborg,Vestsjaelland,0,0
Randers FC,Brondby,0,1
FC Copenhagen,Midtjylland,1,5
Vestsjaelland,Randers FC,1,1
Aarhus,Aalborg,2,5
Viborg,Esbjerg,1,3
Brondby,Nordsjaelland,4,1
Odense,FC Copenhagen,0,1
Midtjylland,Sonderjyske,2,0
Sonderjyske,FC Copenhagen,0,0
Nordsjaelland,Vestsjaelland,1,2
Odense,Viborg,1,1
Aalborg,Midtjylland,1,0
Esbjerg,Brondby,0,0
Randers FC,Aarhus,1,3
Vestsjaelland,Viborg,0,1
Midtjylland,Nordsjaelland,0,1
Sonderjyske,Aalborg,3,2
FC Copenhagen,Randers FC,1,1
Brondby,Odense,1,2
Aarhus,Esbjerg,0,3
Odense,Sonderjyske,2,2
Esbjerg,Vestsjaelland,0,0
Randers FC,Midtjylland,0,3
Viborg,Brondby,0,1
Aalborg,FC Copenhagen,2,1
Nordsjaelland,Aarhus,1,0
Aarhus,Randers FC,0,1
Midtjylland,Aalborg,2,3
Viborg,Odense,2,2
FC Copenhagen,Sonderjyske,2,0
Brondby,Esbjerg,1,0
Vestsjaelland,Nordsjaelland,0,0
Sonderjyske,Vestsjaelland,1,1
Midtjylland,Odense,0,2
Randers FC,Viborg,3,1
FC Copenhagen,Aarhus,1,0
Aalborg,Brondby,2,0
Nordsjaelland,Esbjerg,0,1
Viborg,Aalborg,0,2
Odense,Nordsjaelland,0,1
Esbjerg,Randers FC,0,3
Vestsjaelland,FC Copenhagen,0,1
Brondby,Sonderjyske,3,1
