HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Andorra,Granada,0,0,0,0,5,3,4,2,0,0
Ceuta,Mirandes,2,0,2,0,5,5,2,1,0,0
Zaragoza,Cultural Leonesa,0,5,0,2,3,5,5,2,2,0
Leganes,Malaga,2,0,1,0,7,5,1,0,0,0
Castellon,Albacete,0,1,0,1,9,3,5,3,2,1
Valladolid,Sp Gijon,2,3,1,1,5,1,0,3,0,0
Cordoba,Almeria,1,1,1,1,3,2,2,2,0,0
Santander,La Coruna,2,1,1,1,6,6,3,1,0,0
Las Palmas,Eibar,3,1,1,0,1,5,2,1,0,0
Cadiz,Burgos,1,3,1,2,1,4,3,4,0,0
Huesca,Las Palmas,1,1,1,0,5,4,3,1,0,0
Cultural Leonesa,Ceuta,0,1,0,1,8,2,3,1,0,0
Albacete,Cordoba,1,3,0,2,9,4,0,0,0,0
Eibar,Leganes,0,0,0,0,7,2,2,5,0,0
Burgos,Sociedad B,1,0,0,0,6,3,4,3,0,0
Granada,Cadiz,0,0,0,0,8,4,1,2,0,0
Mirandes,Santander,1,3,1,1,5,4,5,2,0,0
Malaga,Andorra,4,1,1,0,2,7,2,3,1,0
Almeria,Castellon,1,0,0,0,6,3,1,2,0,0
Sp Gijon,Zaragoza,1,0,1,0,2,16,1,1,1,0
La Coruna,Valladolid,1,1,0,1,4,5,3,3,0,1
Santander,Sociedad B,1,0,1,0,5,8,5,1,0,0
Cultural Leonesa,Mirandes,3,2,1,1,6,2,0,3,0,0
Albacete,Huesca,2,1,0,1,7,7,3,0,0,0
Leganes,Burgos,1,2,1,2,9,4,3,3,0,0
Almeria,Eibar,3,1,3,0,3,7,2,3,0,0
Andorra,Cadiz,0,0,0,0,9,3,3,2,0,0
Cordoba,Ceuta,2,0,2,0,4,5,2,4,0,0
Sp Gijon,Las Palmas,0,0,0,0,2,3,2,2,0,0
Castellon,Malaga,2,1,0,0,7,4,6,3,1,0
Zaragoza,La Coruna,0,2,0,0,2,8,1,1,0,0
Valladolid,Granada,2,1,0,1,3,2,3,4,0,1
Sociedad B,Huesca,2,0,1,0,3,6,2,3,0,0
Mirandes,Sp Gijon,2,1,0,1,4,4,4,2,0,0
Sociedad B,Leganes,2,1,1,1,2,6,4,6,0,1
Eibar,Albacete,3,2,0,1,4,3,1,3,0,0
Huesca,Andorra,2,2,0,2,1,3,1,5,0,0
La Coruna,Cultural Leonesa,3,0,2,0,1,1,1,0,0,0
Malaga,Cordoba,2,2,0,0,2,2,3,3,0,1
Las Palmas,Santander,3,1,3,1,5,5,5,1,1,0
Granada,Zaragoza,3,1,1,1,6,5,0,4,0,0
Cadiz,Valladolid,0,0,0,0,2,4,6,1,0,0
Burgos,Castellon,0,0,0,0,5,6,2,2,0,0
Valladolid,Las Palmas,0,1,0,1,10,1,3,2,0,0
Albacete,Andorra,1,0,0,0,4,2,1,1,0,0
Castellon,Sociedad B,5,4,1,1,14,1,3,1,0,0
Santander,Granada,2,2,2,0,7,4,5,5,0,0
Ceuta,Leganes,1,2,0,1,6,3,2,2,0,0
Almeria,Cadiz,3,0,1,0,13,5,3,0,0,0
Sp Gijon,Eibar,1,1,0,1,10,3,3,5,0,0
Cordoba,La Coruna,1,3,0,0,6,5,5,5,1,0
Mirandes,Burgos,0,2,0,0,7,4,4,1,0,0
Zaragoza,Huesca,1,0,1,0,5,3,4,1,1,0
Cultural Leonesa,Malaga,1,0,1,0,1,9,0,2,0,1
Las Palmas,Albacete,2,1,2,0,5,3,1,5,0,0
Andorra,Castellon,1,3,0,1,2,4,2,2,0,0
Eibar,Zaragoza,1,2,1,1,7,0,6,4,0,1
Leganes,Almeria,0,3,0,1,5,0,1,4,0,0
Granada,Cordoba,1,1,0,0,7,8,3,5,0,0
La Coruna,Ceuta,2,1,1,0,4,4,3,0,0,0
Cadiz,Cultural Leonesa,1,2,1,2,11,6,1,1,0,0
Huesca,Sp Gijon,2,0,1,0,7,5,0,1,0,0
Burgos,Santander,0,2,0,1,6,3,4,5,0,0
Malaga,Mirandes,3,2,2,0,2,1,1,3,0,0
Sociedad B,Valladolid,1,0,1,0,4,9,3,3,0,0
Ceuta,Almeria,3,2,1,1,2,2,3,5,0,0
Sp Gijon,Andorra,1,1,0,0,8,5,3,3,0,0
Ceuta,Burgos,1,0,1,0,10,7,5,3,0,0
Cultural Leonesa,Granada,0,1,0,1,4,4,2,3,0,0
Albacete,La Coruna,0,2,0,1,9,5,1,1,0,0
Almeria,Huesca,0,0,0,0,13,1,1,0,0,0
Valladolid,Malaga,1,1,1,0,7,2,5,2,1,0
Zaragoza,Leganes,3,2,1,1,5,3,2,4,0,2
Santander,Eibar,4,0,2,0,3,5,0,3,0,0
Cordoba,Cadiz,1,2,0,0,5,4,2,4,0,0
Mirandes,Sociedad B,1,0,0,0,2,3,3,2,0,1
Castellon,Las Palmas,1,0,0,0,3,3,3,2,0,0
Andorra,Almeria,1,2,0,0,10,4,1,2,0,0
Huesca,Valladolid,1,4,0,2,6,5,2,4,0,0
Sociedad B,Sp Gijon,0,1,0,0,4,6,2,7,0,0
Cadiz,Santander,2,3,2,1,5,7,6,4,0,0
Leganes,Cordoba,0,0,0,0,4,5,3,1,0,0
Eibar,Cultural Leonesa,1,2,1,1,8,4,2,3,0,0
La Coruna,Castellon,1,3,1,0,3,9,3,6,1,0
Granada,Ceuta,1,1,1,1,5,2,2,2,0,0
Burgos,Albacete,0,1,0,0,5,5,3,1,0,0
Las Palmas,Mirandes,0,0,0,0,2,3,1,3,1,0
Malaga,Zaragoza,1,1,1,0,8,4,4,4,0,1
Cultural Leonesa,Huesca,0,2,0,0,5,7,0,3,0,0
Cordoba,Eibar,0,0,0,0,5,0,5,3,0,0
Sp Gijon,Granada,1,0,0,0,6,1,2,2,0,0
Valladolid,Andorra,0,1,0,0,8,6,3,2,0,0
Santander,Leganes,1,1,0,0,7,7,4,3,0,0
La Coruna,Sociedad B,0,3,0,1,6,3,0,4,0,0
Zaragoza,Cadiz,1,2,0,0,8,4,3,5,0,0
Albacete,Malaga,1,3,1,0,6,5,3,1,0,0
Almeria,Burgos,1,2,1,1,3,1,3,3,0,0
Ceuta,Las Palmas,1,1,0,0,2,5,2,2,0,0
Castellon,Mirandes,3,1,1,1,5,4,4,2,0,0
Eibar,Valladolid,3,0,1,0,3,4,3,4,0,0
Andorra,La Coruna,1,0,0,0,1,4,3,4,0,0
Huesca,Santander,1,1,0,1,8,3,5,2,0,0
Leganes,Sp Gijon,0,1,0,0,6,7,2,3,0,0
Las Palmas,Cultural Leonesa,4,0,4,0,4,4,1,2,0,0
Malaga,Almeria,2,1,1,0,1,2,5,4,0,0
Mirandes,Cordoba,1,2,1,1,10,8,2,3,1,0
Sociedad B,Ceuta,1,3,1,1,3,6,5,5,0,0
Burgos,Zaragoza,1,1,1,0,5,7,1,3,0,0
Granada,Albacete,1,1,1,0,6,5,4,3,0,0
Cadiz,Castellon,2,0,0,0,6,12,4,2,0,0
Eibar,Mirandes,2,1,0,1,5,3,2,3,1,1
Cultural Leonesa,Sociedad B,1,1,0,0,1,7,3,5,0,0
Almeria,Granada,3,2,1,1,5,7,4,5,0,0
Castellon,Huesca,4,1,3,0,1,3,2,2,1,0
Valladolid,Santander,1,1,0,0,4,0,8,2,1,0
Cordoba,Burgos,2,0,1,0,6,6,0,1,0,0
Sp Gijon,Malaga,1,3,0,1,5,5,2,4,1,0
Ceuta,Andorra,2,1,1,0,4,8,2,2,0,0
Albacete,Leganes,1,3,1,1,5,5,1,3,0,0
Zaragoza,Las Palmas,1,2,0,1,1,3,3,2,0,0
La Coruna,Cadiz,2,2,2,1,8,4,4,3,0,0
Cadiz,Sp Gijon,3,2,1,0,5,15,4,1,0,0
Mirandes,Almeria,2,2,1,1,4,7,4,2,0,0
Sociedad B,Albacete,0,0,0,0,2,8,4,1,0,0
Andorra,Cultural Leonesa,1,1,0,1,10,1,1,3,0,0
Burgos,Eibar,1,0,0,0,2,3,0,0,0,0
Las Palmas,La Coruna,1,1,1,1,7,3,2,2,0,0
Santander,Zaragoza,2,3,0,2,13,3,3,4,0,1
Leganes,Valladolid,3,0,2,0,4,8,4,2,0,0
Granada,Castellon,0,0,0,0,6,6,0,0,0,0
Malaga,Ceuta,2,1,2,1,6,6,4,2,0,0
Huesca,Cordoba,1,2,1,1,5,7,8,2,1,0
