HomeTeam,AwayTeam,FTHG,FTAG
Nagoya Grampus,Iwata,2,0
Urawa Reds,Vegalta Sendai,0,0
FC Tokyo,Kashiwa Reysol,0,1
Gamba Osaka,Nagoya Grampus,2,2
Yokohama F. Marinos,Nagoya Grampus,1,1
Vegalta Sendai,Sanfrecce Hiroshima,2,2
Albirex Niigata,Kashima Antlers,1,1
Cerezo Osaka,Urawa Reds,1,1
Gamba Osaka,Kashiwa Reysol,2,6
Iwata,FC Tokyo,3,1
Kawasaki Frontale,Vissel Kobe,0,1
Omiya Ardija,Shimizu S-Pulse,1,0
Sagan Tosu,Hokkaido Consadole Sapporo,1,0
Hokkaido Consadole Sapporo,Albirex Niigata,0,1
Shimizu S-Pulse,Kawasaki Frontale,0,0
Urawa Reds,Sagan Tosu,4,3
FC Tokyo,Gamba Osaka,3,2
Kashima Antlers,Omiya Ardija,1,0
Sanfrecce Hiroshima,Iwata,2,0
Kashiwa Reysol,Nagoya Grampus,1,2
Vissel Kobe,Vegalta Sendai,0,1
Yokohama F. Marinos,Cerezo Osaka,1,1
Shimizu S-Pulse,Kashiwa Reysol,3,5
Albirex Niigata,Urawa Reds,0,0
Cerezo Osaka,Kashima Antlers,0,1
Gamba Osaka,Yokohama F. Marinos,1,2
Sanfrecce Hiroshima,Kawasaki Frontale,3,0
Iwata,Hokkaido Consadole Sapporo,4,1
Nagoya Grampus,Vegalta Sendai,0,0
Omiya Ardija,Vissel Kobe,2,2
Sagan Tosu,FC Tokyo,1,0
Hokkaido Consadole Sapporo,Nagoya Grampus,2,1
Urawa Reds,Iwata,2,0
FC Tokyo,Albirex Niigata,0,2
Kashima Antlers,Sanfrecce Hiroshima,2,2
Vegalta Sendai,Sagan Tosu,1,1
Kashiwa Reysol,Cerezo Osaka,4,1
Kawasaki Frontale,Omiya Ardija,4,1
Vissel Kobe,Gamba Osaka,1,1
Yokohama F. Marinos,Shimizu S-Pulse,3,0
Urawa Reds,FC Tokyo,2,2
Vegalta Sendai,Yokohama F. Marinos,2,2
Albirex Niigata,Kashiwa Reysol,1,1
Cerezo Osaka,Hokkaido Consadole Sapporo,4,0
Gamba Osaka,Omiya Ardija,3,1
Sanfrecce Hiroshima,Shimizu S-Pulse,1,2
Iwata,Kawasaki Frontale,2,2
Nagoya Grampus,Vissel Kobe,5,1
Sagan Tosu,Kashima Antlers,2,0
Hokkaido Consadole Sapporo,Vegalta Sendai,2,1
Shimizu S-Pulse,Nagoya Grampus,3,2
Kashima Antlers,Iwata,2,1
Gamba Osaka,Cerezo Osaka,2,2
Kashiwa Reysol,FC Tokyo,1,1
Kawasaki Frontale,Sagan Tosu,1,2
Vissel Kobe,Urawa Reds,1,0
Omiya Ardija,Sanfrecce Hiroshima,1,2
Yokohama F. Marinos,Albirex Niigata,3,2
Hokkaido Consadole Sapporo,Vissel Kobe,2,4
FC Tokyo,Omiya Ardija,0,1
Albirex Niigata,Sanfrecce Hiroshima,0,2
Iwata,Cerezo Osaka,4,3
Nagoya Grampus,Gamba Osaka,0,5
Sagan Tosu,Shimizu S-Pulse,0,1
Urawa Reds,Kashima Antlers,2,1
Vegalta Sendai,Kashiwa Reysol,0,0
Yokohama F. Marinos,Kawasaki Frontale,2,2
Shimizu S-Pulse,Urawa Reds,0,2
Kashima Antlers,Albirex Niigata,0,1
Cerezo Osaka,Yokohama F. Marinos,2,0
Gamba Osaka,Hokkaido Consadole Sapporo,7,2
Sanfrecce Hiroshima,FC Tokyo,0,1
Kashiwa Reysol,Iwata,0,3
Kawasaki Frontale,Nagoya Grampus,0,1
Vissel Kobe,Sagan Tosu,0,0
Omiya Ardija,Vegalta Sendai,1,3
Hokkaido Consadole Sapporo,Shimizu S-Pulse,0,2
Urawa Reds,Omiya Ardija,1,1
FC Tokyo,Yokohama F. Marinos,3,1
