HomeTeam,AwayTeam,FTHG,FTAG
Rubin Kazan,Spartak Moscow,0,1
Zenit,FK Anzi Makhackala,1,1
Volga N. Novgorod,Kuban,0,2
Krasnodar,Amkar,2,1
Dynamo Moscow,Lokomotiv Moscow,1,0
Krylya Sovetov,CSKA Moscow,0,2
Vladikavkaz,FK Rostov,0,0
Spartak Moscow,Akhmat Grozny,3,1
Rubin Kazan,Zenit,1,0
M. Saransk,FK Anzi Makhackala,2,0
FK Rostov,Volga N. Novgorod,1,2
Spartak Moscow,Lokomotiv Moscow,0,0
Amkar,Vladikavkaz,5,1
Kuban,Dynamo Moscow,1,1
CSKA Moscow,Krasnodar,1,0
FK Anzi Makhackala,Krylya Sovetov,1,1
Akhmat Grozny,Rubin Kazan,0,0
Zenit,M. Saransk,1,0
Rubin Kazan,Lokomotiv Moscow,2,0
Krylya Sovetov,M. Saransk,0,2
Dynamo Moscow,FK Rostov,1,0
Volga N. Novgorod,Amkar,1,1
Krasnodar,FK Anzi Makhackala,4,0
Akhmat Grozny,Zenit,0,3
Spartak Moscow,Kuban,2,2
Vladikavkaz,CSKA Moscow,0,4
Amkar,Dynamo Moscow,1,1
CSKA Moscow,Volga N. Novgorod,2,0
FK Rostov,Spartak Moscow,1,0
Lokomotiv Moscow,Akhmat Grozny,1,1
Zenit,Krylya Sovetov,1,0
FK Anzi Makhackala,Vladikavkaz,0,0
Kuban,Rubin Kazan,0,0
M. Saransk,Krasnodar,0,0
Dynamo Moscow,CSKA Moscow,0,0
Lokomotiv Moscow,Zenit,0,1
Akhmat Grozny,Kuban,2,2
Krasnodar,Krylya Sovetov,0,3
Volga N. Novgorod,FK Anzi Makhackala,0,3
Spartak Moscow,Amkar,2,0
Rubin Kazan,FK Rostov,1,1
Vladikavkaz,M. Saransk,3,1
Amkar,Rubin Kazan,1,1
M. Saransk,Volga N. Novgorod,1,3
Krylya Sovetov,Vladikavkaz,2,1
Kuban,Lokomotiv Moscow,0,0
CSKA Moscow,Spartak Moscow,2,2
Zenit,Krasnodar,1,0
FK Anzi Makhackala,Dynamo Moscow,3,3
FK Rostov,Akhmat Grozny,0,3
Volga N. Novgorod,Krylya Sovetov,1,1
Dynamo Moscow,M. Saransk,3,1
Akhmat Grozny,Amkar,2,1
Lokomotiv Moscow,FK Rostov,3,1
Spartak Moscow,FK Anzi Makhackala,2,0
Kuban,Zenit,2,2
Rubin Kazan,CSKA Moscow,2,0
Vladikavkaz,Krasnodar,2,3
M. Saransk,Spartak Moscow,2,1
CSKA Moscow,Akhmat Grozny,1,0
FK Rostov,Kuban,0,2
FK Anzi Makhackala,Rubin Kazan,2,1
Zenit,Vladikavkaz,4,0
Krylya Sovetov,Dynamo Moscow,1,2
Amkar,Lokomotiv Moscow,2,4
Krasnodar,Volga N. Novgorod,2,0
Rubin Kazan,M. Saransk,2,1
Spartak Moscow,Krylya Sovetov,1,1
Dynamo Moscow,Krasnodar,1,1
Volga N. Novgorod,Vladikavkaz,1,0
Kuban,Amkar,4,0
Lokomotiv Moscow,CSKA Moscow,1,4
Akhmat Grozny,FK Anzi Makhackala,1,0
FK Rostov,Zenit,1,1
Amkar,FK Rostov,3,2
CSKA Moscow,Kuban,0,0
M. Saransk,Akhmat Grozny,1,1
Krasnodar,Spartak Moscow,0,1
Vladikavkaz,Dynamo Moscow,1,0
Krylya Sovetov,Rubin Kazan,3,1
Zenit,Volga N. Novgorod,3,1
FK Anzi Makhackala,Lokomotiv Moscow,2,1
Akhmat Grozny,Krylya Sovetov,4,1
Amkar,Zenit,0,0
Dynamo Moscow,Volga N. Novgorod,0,0
FK Rostov,CSKA Moscow,3,0
Kuban,FK Anzi Makhackala,1,0
Lokomotiv Moscow,M. Saransk,2,1
Rubin Kazan,Krasnodar,2,0
Spartak Moscow,Vladikavkaz,2,0
Krylya Sovetov,Spartak Nalchik,2,0
FK Rostov,SKA Khabarovsk,2,0
SKA Khabarovsk,FK Rostov,0,1
Spartak Nalchik,Krylya Sovetov,2,5
Dynamo Moscow,Volga N. Novgorod,2,2
FK Anzi Makhackala,Lokomotiv Moscow,2,2
Kuban,Rubin Kazan,1,1
FK Rostov,Akhmat Grozny,2,1
Amkar,Tomsk,2,0
Krylya Sovetov,Spartak Moscow,1,2
Ural,CSKA Moscow,2,2
Krasnodar,Zenit,1,2
Dynamo Moscow,FK Anzi Makhackala,2,1
Tomsk,Kuban,1,2
