HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Padova,Sudtirol,1,1,0,1,1,8,4,3,0,0
Virtus Entella,Empoli,1,0,0,0,11,2,2,2,0,0
Palermo,Pescara,5,0,1,0,6,5,3,2,0,0
Bari,Cesena,1,0,0,0,3,4,1,1,0,0
Catanzaro,Venezia,2,1,0,0,2,5,1,4,0,0
Modena,Juve Stabia,3,0,1,0,3,7,1,3,0,0
Monza,Spezia,1,0,0,0,8,1,3,2,1,0
Sampdoria,Mantova,0,1,0,0,11,6,2,0,0,0
Spezia,Bari,1,1,1,1,4,12,4,2,1,0
Empoli,Catanzaro,1,0,0,0,2,4,5,4,1,0
Frosinone,Modena,2,2,1,0,5,8,3,1,0,0
Mantova,Padova,1,0,0,0,6,2,2,3,0,0
Reggiana,Virtus Entella,0,0,0,0,4,13,2,1,0,0
Sudtirol,Carrarese,1,1,0,0,1,10,0,2,1,0
Juve Stabia,Palermo,1,0,1,0,6,4,1,7,0,1
Venezia,Sampdoria,3,1,2,0,3,6,1,5,0,0
Cesena,Avellino,3,0,2,0,5,4,4,4,0,0
Pescara,Monza,0,2,0,1,2,7,1,1,0,0
Catanzaro,Pescara,3,3,1,2,7,4,5,3,0,0
Avellino,Empoli,0,3,0,2,6,4,2,3,0,0
Carrarese,Reggiana,0,0,0,0,5,5,1,5,0,0
Virtus Entella,Palermo,1,1,1,0,7,7,1,1,0,0
Padova,Venezia,0,2,0,1,8,6,4,3,0,0
Bari,Frosinone,2,3,2,3,4,9,2,3,0,0
Mantova,Spezia,4,1,1,1,8,2,2,5,0,1
Modena,Sudtirol,0,0,0,0,5,3,0,0,0,0
Monza,Cesena,1,0,1,0,6,7,1,0,0,0
Sampdoria,Juve Stabia,1,0,0,0,4,4,1,5,0,1
Cesena,Modena,1,0,1,0,7,8,1,1,0,0
Empoli,Bari,5,0,1,0,4,5,1,2,0,0
Pescara,Padova,0,1,0,0,12,5,0,5,0,0
Reggiana,Frosinone,0,1,0,0,4,2,1,3,0,0
Sudtirol,Avellino,0,1,0,1,10,2,4,1,0,0
Venezia,Mantova,3,0,1,0,7,1,2,3,0,1
Catanzaro,Virtus Entella,3,2,2,2,8,2,4,3,0,0
Palermo,Carrarese,5,0,2,0,3,4,2,3,0,0
Juve Stabia,Monza,2,2,1,1,3,5,2,5,0,0
Spezia,Sampdoria,1,0,0,0,3,9,2,3,0,0
Juve Stabia,Bari,0,0,0,0,8,0,4,3,0,0
Empoli,Palermo,1,3,0,2,7,5,2,2,0,0
Sampdoria,Carrarese,3,2,2,2,7,1,7,3,0,0
Modena,Catanzaro,1,2,1,0,8,2,0,2,0,0
Avellino,Venezia,1,1,1,0,2,10,1,3,0,0
Frosinone,Juve Stabia,3,0,1,0,4,1,0,2,0,0
Mantova,Reggiana,0,1,0,0,10,3,2,3,0,1
Monza,Sudtirol,1,1,1,0,3,0,1,2,0,0
Padova,Cesena,1,1,0,0,2,4,3,4,0,0
Bari,Pescara,1,1,0,1,9,1,6,3,2,1
Virtus Entella,Spezia,0,1,0,0,5,6,4,4,1,0
Palermo,Sampdoria,1,0,1,0,5,1,0,0,0,0
Juve Stabia,Empoli,2,0,1,0,5,5,4,2,0,0
Reggiana,Padova,1,2,0,1,7,5,2,3,0,0
Spezia,Modena,0,2,0,1,3,9,4,5,1,0
Sudtirol,Bari,0,0,0,0,3,3,3,2,1,0
Venezia,Monza,2,0,0,0,2,6,1,3,0,0
Catanzaro,Avellino,1,0,0,0,4,2,3,2,0,0
Cesena,Mantova,3,2,1,2,7,2,2,1,0,0
Carrarese,Virtus Entella,3,1,0,0,5,6,1,3,0,0
Pescara,Frosinone,1,2,1,1,10,2,3,3,0,0
Bari,Catanzaro,1,2,0,1,3,9,1,3,0,0
Cesena,Juve Stabia,1,1,1,1,1,5,3,2,1,0
Frosinone,Spezia,2,1,1,0,5,10,2,2,0,0
Modena,Venezia,1,2,0,1,5,5,1,3,0,0
Monza,Carrarese,4,1,2,0,5,8,0,4,0,0
Padova,Sampdoria,1,1,0,1,2,5,2,2,0,0
Avellino,Palermo,2,2,1,0,4,4,4,4,0,1
Pescara,Reggiana,2,1,1,1,8,5,1,4,0,0
Virtus Entella,Sudtirol,1,1,1,0,2,3,3,2,0,0
Mantova,Empoli,0,1,0,0,6,3,4,3,0,0
Modena,Monza,1,2,1,0,5,4,4,4,0,0
Spezia,Pescara,2,1,1,1,9,6,1,3,0,0
Carrarese,Mantova,0,0,0,0,7,5,2,2,0,0
Catanzaro,Cesena,2,0,1,0,2,5,2,2,0,0
Empoli,Frosinone,1,1,1,1,3,1,1,3,0,0
Juve Stabia,Sudtirol,1,0,1,0,2,6,1,3,0,0
Sampdoria,Reggiana,2,1,1,1,5,4,3,3,0,0
Venezia,Virtus Entella,1,0,1,0,4,5,1,4,0,0
Palermo,Padova,1,0,1,0,3,8,2,2,0,0
Bari,Avellino,1,1,0,0,3,3,3,3,0,0
Avellino,Sampdoria,2,1,1,0,5,2,3,3,0,0
Carrarese,Bari,1,0,0,0,7,3,1,0,0,0
Frosinone,Catanzaro,2,0,0,0,5,3,5,4,0,1
Reggiana,Venezia,1,3,1,2,5,5,1,1,0,1
Sudtirol,Spezia,2,1,1,1,3,4,1,2,0,0
Virtus Entella,Monza,1,0,0,0,4,8,1,4,0,0
Juve Stabia,Pescara,2,2,0,1,8,7,2,5,0,0
Cesena,Empoli,0,1,0,0,12,2,3,2,0,0
Mantova,Palermo,1,1,0,1,3,6,3,2,0,0
Padova,Modena,2,0,1,0,3,12,3,1,0,0
Sampdoria,Virtus Entella,1,1,1,0,9,1,2,1,0,0
Avellino,Carrarese,1,2,1,1,6,4,1,2,0,0
Empoli,Sudtirol,0,1,0,1,8,4,0,5,0,0
Monza,Frosinone,2,2,1,1,8,5,3,4,0,1
Padova,Mantova,1,2,0,1,6,2,3,3,0,0
Venezia,Catanzaro,3,1,1,1,3,1,1,3,0,1
Reggiana,Cesena,1,2,1,1,4,5,2,3,0,0
Bari,Juve Stabia,0,1,0,1,5,5,1,4,0,0
Pescara,Modena,0,2,0,2,4,9,0,2,0,0
Palermo,Spezia,1,0,1,0,9,8,2,3,0,0
Carrarese,Empoli,3,0,1,0,2,5,1,1,0,0
Cesena,Bari,1,2,0,0,16,1,2,3,0,0
Frosinone,Reggiana,1,0,0,0,7,2,2,3,0,0
Juve Stabia,Virtus Entella,1,0,1,0,4,3,1,2,0,0
Mantova,Venezia,2,5,1,2,3,9,2,2,0,0
Monza,Pescara,3,0,1,0,8,8,5,2,0,0
Modena,Palermo,0,0,0,0,2,4,1,1,0,0
Spezia,Avellino,1,0,1,0,3,9,3,4,0,0
Sudtirol,Padova,3,0,2,0,5,3,3,1,0,0
Catanzaro,Sampdoria,0,0,0,0,3,4,3,2,0,0
Bari,Palermo,0,3,0,0,3,7,3,4,0,0
Avellino,Cesena,3,1,2,1,7,4,1,2,0,0
Empoli,Modena,0,0,0,0,5,4,1,3,0,1
Sudtirol,Catanzaro,2,1,2,1,1,3,4,1,0,0
Venezia,Carrarese,2,1,1,0,3,6,2,4,0,0
Virtus Entella,Frosinone,1,1,0,0,3,8,2,2,0,0
Pescara,Mantova,2,2,1,1,4,6,4,3,0,0
Sampdoria,Spezia,1,0,0,0,6,11,3,4,1,1
Reggiana,Juve Stabia,1,1,1,1,4,5,2,1,0,0
Padova,Monza,1,2,1,1,3,9,3,1,0,0
Cesena,Pescara,2,0,1,0,5,6,5,1,0,0
Carrarese,Sudtirol,0,0,0,0,5,6,2,2,0,0
Catanzaro,Reggiana,2,0,1,0,2,10,1,3,0,0
Frosinone,Venezia,1,2,1,0,6,2,1,2,0,0
Juve Stabia,Padova,3,3,1,0,1,4,2,3,0,0
Mantova,Bari,2,1,1,1,7,1,4,2,0,0
Modena,Sampdoria,1,2,0,0,4,1,1,5,0,0
Palermo,Empoli,3,2,1,1,3,5,2,4,0,0
Spezia,Virtus Entella,1,1,1,1,6,6,2,3,0,1
Monza,Avellino,2,1,0,0,15,2,0,3,0,0
Sampdoria,Palermo,3,3,0,1,3,4,3,4,0,0
Padova,Carrarese,1,0,1,0,3,8,2,3,0,0
Pescara,Catanzaro,0,2,0,1,7,3,3,3,0,0
Reggiana,Mantova,1,0,1,0,5,3,4,3,0,0
Venezia,Modena,0,2,0,2,1,5,2,3,0,0
Virtus Entella,Cesena,3,1,1,0,5,5,2,3,0,0
Sudtirol,Monza,0,0,0,0,5,3,2,1,0,0
Avellino,Frosinone,1,3,0,2,6,4,2,1,0,0
Bari,Spezia,0,0,0,0,5,10,0,1,0,0
Empoli,Juve Stabia,1,2,1,0,5,3,1,0,0,0
Modena,Carrarese,2,0,1,0,6,5,5,5,0,0
Palermo,Virtus Entella,3,0,2,0,3,8,0,0,0,0
Sampdoria,Padova,1,0,1,0,5,1,2,1,0,0
Catanzaro,Mantova,2,0,2,0,2,11,0,1,0,0
Cesena,Venezia,0,4,0,2,5,5,3,1,0,0
Bari,Sudtirol,1,2,0,0,3,5,0,3,0,0
Monza,Juve Stabia,2,1,0,1,5,7,0,0,0,0
Spezia,Frosinone,0,2,0,1,2,11,4,2,0,0
Empoli,Reggiana,1,1,0,1,12,1,4,2,0,0
Avellino,Pescara,0,1,0,0,6,4,4,4,0,0
Frosinone,Empoli,2,2,1,1,6,3,1,4,0,0
Mantova,Sampdoria,2,1,0,1,6,5,2,2,0,0
Padova,Bari,1,1,1,1,9,3,3,4,0,0
Palermo,Sudtirol,3,0,2,0,5,3,0,2,0,0
Venezia,Pescara,3,2,2,1,6,7,1,4,0,0
Virtus Entella,Catanzaro,1,3,0,1,5,3,2,1,0,0
Cesena,Spezia,2,3,1,1,7,0,1,2,0,0
Carrarese,Monza,0,1,0,0,4,7,2,1,0,0
Juve Stabia,Modena,1,2,0,2,19,3,4,4,0,1
Reggiana,Avellino,1,1,1,1,1,8,2,1,0,0
Monza,Virtus Entella,2,0,0,0,1,2,2,0,0,0
Sampdoria,Bari,0,2,0,1,9,3,4,4,0,0
Empoli,Cesena,1,1,0,1,13,1,0,1,0,0
Modena,Padova,1,2,0,2,5,3,2,3,0,0
Sudtirol,Venezia,1,1,0,0,6,5,1,2,0,0
Spezia,Reggiana,0,1,0,1,7,1,4,3,0,0
Avellino,Juve Stabia,0,0,0,0,6,2,3,1,0,0
Catanzaro,Frosinone,2,2,1,0,3,9,1,4,0,0
Pescara,Palermo,2,1,0,0,9,4,4,2,0,0
Mantova,Carrarese,1,1,1,0,6,9,3,4,0,0
Padova,Spezia,2,2,1,1,6,5,0,2,0,0
Cesena,Monza,1,3,0,2,4,2,2,3,0,1
Reggiana,Sudtirol,0,4,0,1,3,4,1,1,0,0
Venezia,Avellino,4,0,3,0,3,0,1,2,0,2
Virtus Entella,Modena,2,1,1,1,1,6,3,1,1,0
Carrarese,Catanzaro,3,3,1,2,4,2,1,2,1,0
Bari,Empoli,2,1,1,1,3,8,2,1,0,1
Frosinone,Pescara,2,2,0,2,12,1,2,4,0,1
Juve Stabia,Sampdoria,1,1,0,0,9,3,0,1,0,0
Palermo,Mantova,2,1,2,0,9,2,4,4,1,1
Avellino,Padova,1,0,0,0,9,3,3,3,0,0
Spezia,Monza,4,2,2,2,3,2,3,3,0,1
Sudtirol,Virtus Entella,0,1,0,0,6,2,1,2,0,0
Venezia,Reggiana,2,0,1,0,5,3,1,0,0,0
Modena,Cesena,0,0,0,0,7,1,1,0,0,0
Catanzaro,Empoli,3,2,0,2,9,1,1,2,0,0
Frosinone,Sampdoria,3,0,1,0,10,2,2,1,0,0
Mantova,Juve Stabia,2,0,2,0,6,1,2,8,0,1
Carrarese,Palermo,0,1,0,1,9,5,2,1,0,0
Pescara,Bari,4,0,2,0,2,4,2,1,0,0
Modena,Spezia,3,0,1,0,3,3,0,2,0,0
Bari,Reggiana,4,1,2,0,3,8,2,4,0,0
Cesena,Frosinone,2,2,0,1,1,5,4,1,0,0
Empoli,Mantova,2,2,0,2,9,4,3,2,0,0
Juve Stabia,Carrarese,1,1,1,0,6,8,2,1,0,0
Padova,Catanzaro,1,3,0,1,3,6,1,2,0,0
Monza,Palermo,3,0,1,0,3,10,2,4,0,0
Sampdoria,Venezia,0,0,0,0,7,6,2,0,0,0
Virtus Entella,Avellino,1,2,0,2,7,5,1,1,0,0
Sudtirol,Pescara,0,0,0,0,3,5,5,1,1,0
Brescia,Palermo,1,0,0,0,9,6,1,1,0,0
Bari,Juve Stabia,1,3,0,2,6,4,2,6,0,0
Pisa,Spezia,2,2,1,2,7,2,4,2,0,0
Salernitana,Cittadella,2,1,0,1,10,1,4,5,0,0
Sudtirol,Modena,2,1,1,1,4,2,1,3,0,0
Catanzaro,Sassuolo,1,1,0,1,3,7,3,4,0,0
Cesena,Carrarese,2,1,2,0,1,2,3,1,0,0
Cosenza,Cremonese,1,0,1,0,4,8,3,2,0,0
Frosinone,Sampdoria,2,2,1,0,4,4,2,2,0,1
Reggiana,Mantova,2,2,0,0,3,1,5,1,0,0
Modena,Bari,2,1,1,1,4,5,4,4,0,0
Sudtirol,Salernitana,3,2,2,1,5,5,1,1,0,0
Brescia,Cittadella,0,1,0,0,5,4,2,4,0,1
Cremonese,Carrarese,1,0,0,0,5,5,0,0,0,0
Pisa,Palermo,2,0,1,0,6,7,2,2,0,0
Sampdoria,Reggiana,0,1,0,0,6,4,2,4,0,0
