HomeTeam,AwayTeam,FTHG,FTAG
Zaglebie,Ruch,2,3
Lechia Gdansk,Wisla,0,0
Pogon Szczecin,Lech Poznan,0,2
Ruch,Podbeskidzie,1,3
Lech Poznan,Lechia Gdansk,4,2
Jagiellonia,Pogon Szczecin,1,0
Slask Wroclaw,Gornik Z.,2,1
Legia,Zaglebie,2,0
Korona Kielce,GKS Belchatow,1,0
Wisla,Piast Gliwice,1,2
Widzew Lodz,Polonia Warszawa,3,2
Pogon Szczecin,Widzew Lodz,1,1
Zaglebie,Korona Kielce,2,1
GKS Belchatow,Ruch,0,3
Polonia Warszawa,Slask Wroclaw,2,2
Wisla,Legia,1,2
Gornik Z.,Podbeskidzie,0,1
Lechia Gdansk,Jagiellonia,2,3
Piast Gliwice,Lech Poznan,0,3
Widzew Lodz,Piast Gliwice,1,1
Korona Kielce,Gornik Z.,1,0
Podbeskidzie,GKS Belchatow,1,1
Jagiellonia,Wisla,2,2
Legia,Pogon Szczecin,3,1
Slask Wroclaw,Lechia Gdansk,1,1
Lech Poznan,Zaglebie,3,1
Ruch,Polonia Warszawa,2,1
Pogon Szczecin,Korona Kielce,2,1
Wisla,Widzew Lodz,1,0
Polonia Warszawa,GKS Belchatow,0,1
Lechia Gdansk,Podbeskidzie,1,2
Piast Gliwice,Legia,0,0
Zaglebie,Slask Wroclaw,4,0
Gornik Z.,Ruch,2,0
Jagiellonia,Lech Poznan,0,1
Podbeskidzie,Zaglebie,1,1
Korona Kielce,Polonia Warszawa,1,1
Widzew Lodz,Jagiellonia,3,0
GKS Belchatow,Gornik Z.,2,0
Lech Poznan,Wisla,1,0
Legia,Lechia Gdansk,1,0
Slask Wroclaw,Pogon Szczecin,1,0
Ruch,Piast Gliwice,1,2
Polonia Warszawa,Podbeskidzie,2,1
Lech Poznan,Widzew Lodz,4,0
Pogon Szczecin,GKS Belchatow,0,1
Wisla,Korona Kielce,3,0
Jagiellonia,Legia,0,3
Piast Gliwice,Slask Wroclaw,3,2
Lechia Gdansk,Ruch,4,4
Zaglebie,Gornik Z.,1,2
Ruch,Pogon Szczecin,2,3
Slask Wroclaw,Wisla,3,0
Legia,Lech Poznan,1,0
Podbeskidzie,Piast Gliwice,1,2
Gornik Z.,Polonia Warszawa,0,4
GKS Belchatow,Zaglebie,3,2
Korona Kielce,Jagiellonia,5,0
Widzew Lodz,Lechia Gdansk,1,2
Piast Gliwice,Korona Kielce,1,1
Wisla,Ruch,1,1
Widzew Lodz,Legia,1,1
Lechia Gdansk,GKS Belchatow,1,1
Lech Poznan,Podbeskidzie,0,2
Pogon Szczecin,Gornik Z.,1,0
Jagiellonia,Slask Wroclaw,0,3
Zaglebie,Polonia Warszawa,0,0
Gornik Z.,Wisla,0,1
Podbeskidzie,Pogon Szczecin,2,1
Polonia Warszawa,Piast Gliwice,1,1
Ruch,Legia,0,0
Slask Wroclaw,Lech Poznan,1,1
Zaglebie,Lechia Gdansk,0,3
GKS Belchatow,Jagiellonia,1,1
Korona Kielce,Widzew Lodz,0,0
Jagiellonia,Ruch,1,0
Lech Poznan,Korona Kielce,2,0
Lechia Gdansk,Gornik Z.,0,2
Legia,Slask Wroclaw,5,0
Piast Gliwice,GKS Belchatow,2,3
Pogon Szczecin,Polonia Warszawa,3,1
Widzew Lodz,Podbeskidzie,1,2
Wisla,Zaglebie,0,1
Zaglebie,Pogon Szczecin,0,2
Wisla,Gornik Z.,0,0
Zawisza,Jagiellonia,0,1
Legia,Widzew Lodz,5,1
Korona Kielce,Slask Wroclaw,0,0
Cracovia,Piast Gliwice,2,3
Ruch,Lech Poznan,1,1
Lechia Gdansk,Podbeskidzie,2,2
Ruch,Lechia Gdansk,1,1
Widzew Lodz,Zawisza,2,1
Podbeskidzie,Gornik Z.,1,2
Pogon Szczecin,Legia,0,3
Piast Gliwice,Zaglebie,2,1
Slask Wroclaw,Jagiellonia,2,3
Lech Poznan,Cracovia,1,1
Korona Kielce,Wisla,2,3
Cracovia,Ruch,2,1
Zawisza,Pogon Szczecin,1,1
Widzew Lodz,Korona Kielce,2,1
Legia,Podbeskidzie,4,0
Gornik Z.,Piast Gliwice,2,1
Slask Wroclaw,Wisla,0,0
Zaglebie,Lech Poznan,0,0
Lechia Gdansk,Jagiellonia,2,0
Podbeskidzie,Zaglebie,0,0
Wisla,Jagiellonia,1,1
Widzew Lodz,Gornik Z.,0,3
Lechia Gdansk,Cracovia,3,1
Ruch,Legia,2,1
Pogon Szczecin,Slask Wroclaw,2,2
Lech Poznan,Korona Kielce,2,0
Piast Gliwice,Zawisza,1,1
Zaglebie,Cracovia,0,1
Gornik Z.,Ruch,2,2
Zawisza,Podbeskidzie,2,2
Jagiellonia,Pogon Szczecin,2,3
Legia,Lechia Gdansk,0,1
Slask Wroclaw,Widzew Lodz,3,1
Wisla,Lech Poznan,2,0
Korona Kielce,Piast Gliwice,2,0
Lechia Gdansk,Gornik Z.,1,1
Ruch,Zaglebie,0,2
Widzew Lodz,Jagiellonia,1,1
Pogon Szczecin,Wisla,0,0
Cracovia,Legia,0,1
Piast Gliwice,Slask Wroclaw,1,1
Lech Poznan,Zawisza,3,2
Podbeskidzie,Korona Kielce,1,0
Widzew Lodz,Podbeskidzie,1,1
Wisla,Piast Gliwice,3,0
Zawisza,Cracovia,2,0
Slask Wroclaw,Lech Poznan,2,0
Korona Kielce,Legia,3,5
Jagiellonia,Ruch,6,0
Pogon Szczecin,Lechia Gdansk,1,1
Gornik Z.,Zaglebie,2,1
Podbeskidzie,Jagiellonia,0,1
Piast Gliwice,Widzew Lodz,3,0
Lech Poznan,Pogon Szczecin,1,2
Lechia Gdansk,Zawisza,1,1
Cracovia,Wisla,1,1
Zaglebie,Korona Kielce,2,0
Ruch,Slask Wroclaw,1,1
Legia,Gornik Z.,2,1
Pogon Szczecin,Podbeskidzie,2,1
Piast Gliwice,Lech Poznan,0,2
Zawisza,Zaglebie,2,0
Wisla,Lechia Gdansk,3,0
Slask Wroclaw,Cracovia,0,3
Widzew Lodz,Ruch,0,1
Jagiellonia,Legia,2,3
Korona Kielce,Gornik Z.,2,2
Podbeskidzie,Piast Gliwice,0,1
Cracovia,Pogon Szczecin,0,1
Ruch,Wisla,1,1
Legia,Slask Wroclaw,2,1
Zaglebie,Jagiellonia,1,1
Lech Poznan,Widzew Lodz,1,0
Gornik Z.,Zawisza,3,2
Lechia Gdansk,Korona Kielce,2,2
Zawisza,Korona Kielce,0,1
Slask Wroclaw,Zaglebie,2,0
Jagiellonia,Cracovia,1,2
Pogon Szczecin,Gornik Z.,1,4
Podbeskidzie,Lech Poznan,0,0
