HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Raith Rvs,Dunfermline,1,2,0,2,4,5,2,3,0,0
Ross County,St Johnstone,0,0,0,0,3,8,6,4,0,0
Airdrie Utd,Raith Rvs,0,0,0,0,6,9,2,1,0,0
Partick,Morton,3,2,0,2,10,3,3,3,0,0
St Johnstone,Arbroath,1,0,1,0,8,5,2,1,0,0
Ross County,Partick,2,0,2,0,4,11,1,0,0,0
Ayr,Airdrie Utd,1,1,1,1,9,3,2,2,0,0
Raith Rvs,Arbroath,2,3,0,2,2,4,2,0,0,0
Arbroath,Morton,1,1,0,0,9,6,1,0,0,0
Airdrie Utd,Ross County,0,1,0,0,3,3,1,2,0,0
Partick,Ayr,2,1,2,0,9,4,0,3,0,0
Raith Rvs,Queens Park,4,1,2,0,4,2,2,2,0,0
St Johnstone,Dunfermline,0,1,0,0,10,6,3,3,0,0
St Johnstone,Partick,2,2,0,1,15,2,5,4,0,0
Ayr,Raith Rvs,2,1,1,0,2,8,7,1,0,0
Dunfermline,Airdrie Utd,0,2,0,1,6,6,1,2,1,0
Morton,Ross County,2,1,1,0,4,6,2,4,0,0
Queens Park,Arbroath,2,1,2,1,0,9,5,0,0,0
Queens Park,Ross County,0,1,0,0,4,3,0,3,0,0
Airdrie Utd,St Johnstone,0,1,0,1,8,6,2,3,0,0
Morton,Raith Rvs,0,0,0,0,8,1,4,4,0,0
Ross County,Queens Park,0,1,0,1,4,2,2,2,0,0
Morton,Dunfermline,2,0,1,0,2,6,2,2,0,1
Raith Rvs,St Johnstone,0,0,0,0,3,6,6,1,0,0
Arbroath,Dunfermline,4,2,1,1,5,4,1,3,1,0
Ayr,Ross County,0,0,0,0,1,4,2,3,0,0
Partick,Airdrie Utd,1,0,1,0,7,4,5,3,0,0
Queens Park,Morton,3,2,1,1,3,4,1,2,0,0
Dunfermline,Partick,2,2,0,1,1,3,2,4,0,0
Queens Park,St Johnstone,1,1,0,0,2,8,3,3,0,1
Airdrie Utd,Morton,3,1,1,1,11,7,3,2,0,2
Dunfermline,Queens Park,1,0,1,0,2,3,1,1,0,0
Partick,Arbroath,0,0,0,0,4,4,2,6,1,1
Ross County,Raith Rvs,2,0,2,0,5,5,2,2,0,0
St Johnstone,Ayr,3,1,2,1,8,7,2,3,0,0
Arbroath,Ayr,1,1,0,0,4,2,1,3,0,0
Dunfermline,Ross County,3,0,2,0,1,2,3,4,0,0
Queens Park,Airdrie Utd,1,0,1,0,4,6,2,2,0,0
Arbroath,Ross County,0,0,0,0,5,4,4,5,0,2
Morton,St Johnstone,0,2,0,0,2,8,3,1,0,0
Ayr,Queens Park,1,2,0,0,6,3,2,0,0,0
Morton,Partick,1,2,1,1,4,4,4,0,1,0
Airdrie Utd,Arbroath,0,0,0,0,7,5,3,1,0,0
Dunfermline,Raith Rvs,3,0,1,0,7,1,2,4,0,0
Queens Park,Ayr,1,1,1,1,2,5,2,2,0,0
St Johnstone,Ross County,1,0,1,0,3,1,2,4,0,0
Falkirk,Queens Park,2,1,1,0,17,15,2,1,0,0
Airdrie Utd,Raith Rvs,1,0,0,0,7,3,2,3,0,0
Hamilton,Ayr,0,2,0,1,6,5,2,1,1,0
Livingston,Dunfermline,2,0,0,0,2,3,1,0,0,0
Partick,Morton,0,0,0,0,8,5,2,1,0,0
Ayr,Airdrie Utd,5,0,2,0,4,5,1,3,0,0
Queens Park,Livingston,1,1,1,0,5,10,0,3,0,0
Dunfermline,Falkirk,0,2,0,1,4,5,1,1,0,0
Morton,Hamilton,0,0,0,0,4,3,1,3,0,0
Raith Rvs,Partick,1,0,1,0,2,6,4,2,0,1
Ayr,Hamilton,3,2,1,2,2,4,3,3,0,0
Airdrie Utd,Queens Park,0,2,0,2,6,1,3,2,0,1
Ayr,Raith Rvs,2,0,1,0,3,5,1,3,0,1
Falkirk,Partick,2,1,0,0,13,0,2,3,0,1
Hamilton,Dunfermline,1,0,1,0,5,3,2,2,0,0
Livingston,Morton,1,1,0,0,7,1,2,3,0,0
Dunfermline,Ayr,1,1,1,1,2,5,2,3,0,0
Hamilton,Airdrie Utd,2,2,0,0,6,3,1,2,0,0
Morton,Falkirk,2,3,2,2,2,9,4,3,0,0
Partick,Queens Park,3,0,1,0,6,5,1,1,0,0
Raith Rvs,Livingston,0,1,0,0,2,0,4,3,0,0
Dunfermline,Raith Rvs,2,0,0,0,5,0,3,4,0,1
Airdrie Utd,Falkirk,0,2,0,0,3,14,3,4,0,0
Ayr,Partick,1,1,1,0,3,11,3,3,0,0
Livingston,Hamilton,3,0,0,0,5,3,4,4,0,0
Queens Park,Morton,1,0,1,0,8,6,5,4,0,0
Morton,Airdrie Utd,2,0,1,0,8,4,0,0,0,1
Partick,Dunfermline,1,0,0,0,6,2,2,4,0,0
Queens Park,Ayr,1,1,1,0,4,10,2,2,0,0
Raith Rvs,Hamilton,3,3,2,1,5,2,1,2,0,0
Ayr,Morton,1,0,0,0,5,2,2,3,0,0
Dunfermline,Queens Park,1,2,0,1,12,3,2,2,0,0
Hamilton,Partick,1,0,0,0,1,12,1,4,0,0
Livingston,Airdrie Utd,2,1,1,1,7,8,2,4,0,0
Raith Rvs,Falkirk,1,0,1,0,2,4,2,4,0,0
Airdrie Utd,Dunfermline,1,1,0,1,6,4,4,3,0,0
Falkirk,Ayr,2,0,1,0,6,2,0,0,0,0
Morton,Raith Rvs,2,0,0,0,5,10,3,1,0,0
Partick,Livingston,0,0,0,0,9,5,3,2,0,0
Queens Park,Hamilton,1,0,0,0,3,2,1,1,0,0
Falkirk,Livingston,0,0,0,0,8,5,3,1,0,0
Partick,Falkirk,1,1,0,0,4,13,2,0,0,0
Hamilton,Falkirk,1,3,0,3,1,4,7,3,0,0
Ayr,Livingston,1,2,1,2,9,1,3,4,0,0
Dunfermline,Morton,0,0,0,0,6,0,3,1,0,0
Partick,Airdrie Utd,2,1,1,1,7,1,2,0,0,1
Raith Rvs,Queens Park,1,1,1,0,10,7,3,1,1,0
Airdrie Utd,Ayr,0,1,0,0,6,7,3,2,0,0
Falkirk,Dunfermline,2,1,1,0,6,4,2,4,0,0
Hamilton,Morton,3,0,0,0,9,4,0,3,0,0
Livingston,Raith Rvs,2,1,0,1,5,5,1,1,1,1
Queens Park,Partick,0,1,0,1,5,3,1,1,0,0
Dunfermline,Livingston,3,0,1,0,6,5,2,3,0,0
Morton,Queens Park,0,1,0,1,8,3,4,2,1,0
Raith Rvs,Airdrie Utd,1,0,1,0,3,3,1,1,0,0
Raith Rvs,Ayr,2,0,2,0,3,4,3,1,0,0
Airdrie Utd,Hamilton,0,4,0,2,16,6,2,2,0,0
Dunfermline,Partick,0,1,0,0,6,2,2,2,0,0
Falkirk,Morton,6,0,2,0,17,0,0,3,0,0
Livingston,Queens Park,1,1,0,0,6,4,4,2,0,1
Morton,Ayr,1,1,1,0,4,4,1,5,0,0
Falkirk,Airdrie Utd,2,0,1,0,4,3,1,3,0,0
Hamilton,Livingston,1,3,1,1,5,3,2,2,0,0
Partick,Raith Rvs,1,1,1,0,3,5,1,2,0,0
Queens Park,Dunfermline,2,1,1,0,4,10,1,1,0,0
Ayr,Queens Park,3,2,2,0,3,7,2,2,0,1
Dunfermline,Airdrie Utd,1,0,0,0,5,9,1,3,0,0
Livingston,Falkirk,1,0,1,0,3,8,5,2,0,0
Partick,Hamilton,5,1,2,1,5,0,2,1,0,0
Raith Rvs,Morton,2,3,0,2,8,2,1,3,0,0
Queens Park,Falkirk,0,1,0,1,2,4,2,2,0,0
Ayr,Dunfermline,1,0,0,0,6,5,3,4,0,0
