HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Rennes,Marseille,1,0,0,0,1,12,2,3,1,0
Lens,Lyon,0,1,0,1,13,8,2,3,0,0
Monaco,Le Havre,3,1,1,0,5,4,0,1,0,0
Nice,Toulouse,0,1,0,0,9,4,2,3,0,0
Brest,Lille,3,3,1,2,2,2,2,1,0,0
Angers,Paris FC,1,0,1,0,3,7,2,1,1,0
Auxerre,Lorient,1,0,0,0,4,5,3,2,0,0
Metz,Strasbourg,0,1,0,0,3,3,2,2,0,0
Nantes,Paris SG,0,1,0,0,2,7,1,1,0,0
Paris SG,Angers,1,0,0,0,12,0,0,0,0,0
Marseille,Paris FC,5,2,2,1,5,2,1,0,0,0
Nice,Auxerre,3,1,2,1,5,4,2,2,0,1
Lyon,Metz,3,0,2,0,4,3,0,2,0,0
Lorient,Rennes,4,0,1,0,3,2,6,0,0,2
Le Havre,Lens,1,2,1,2,7,0,3,1,0,0
Strasbourg,Nantes,1,0,0,0,7,6,2,2,0,0
Toulouse,Brest,2,0,0,0,3,9,0,1,0,0
Lille,Monaco,1,0,0,0,8,3,1,2,0,0
Lens,Brest,3,1,0,1,15,1,1,3,0,1
Lorient,Lille,1,7,0,0,3,8,3,3,0,0
Nantes,Auxerre,1,0,1,0,3,9,1,3,0,0
Toulouse,Paris SG,3,6,1,4,5,7,1,0,0,0
Angers,Rennes,1,1,0,1,1,7,2,2,0,0
Le Havre,Nice,3,1,1,0,0,5,1,4,0,0
Monaco,Strasbourg,3,2,1,0,6,5,2,1,0,1
Paris FC,Metz,3,2,1,1,14,6,1,1,0,1
Lyon,Marseille,1,0,0,0,9,4,2,2,0,1
Marseille,Lorient,4,0,3,0,10,0,3,2,0,1
Nice,Nantes,1,0,0,0,7,4,2,0,0,0
Auxerre,Monaco,1,2,0,1,5,8,3,6,1,0
Lille,Toulouse,2,1,0,0,7,6,2,3,0,1
Brest,Paris FC,1,2,0,2,6,1,0,2,0,1
Metz,Angers,1,1,1,0,4,3,0,1,0,0
Paris SG,Lens,2,0,1,0,4,3,1,2,0,0
Strasbourg,Le Havre,1,0,0,0,4,3,2,2,1,0
Rennes,Lyon,3,1,0,1,5,4,2,2,0,1
Lyon,Angers,1,0,0,0,7,4,2,2,0,0
Nantes,Rennes,2,2,0,2,4,4,3,1,0,0
Brest,Nice,4,1,2,1,2,7,1,3,0,0
Lens,Lille,3,0,2,0,4,10,1,3,0,0
Paris FC,Strasbourg,2,3,0,1,4,2,1,5,0,0
Auxerre,Toulouse,1,0,1,0,3,4,1,6,1,0
Le Havre,Lorient,1,1,0,1,6,2,3,6,0,0
Monaco,Metz,5,2,1,1,4,5,1,0,0,0
Marseille,Paris SG,1,0,1,0,5,3,3,0,0,0
Strasbourg,Marseille,1,2,0,0,5,4,2,4,0,0
Lorient,Monaco,3,1,1,0,2,4,2,3,0,1
Toulouse,Nantes,2,2,0,1,1,4,2,3,0,0
Paris SG,Auxerre,2,0,1,0,5,5,1,2,0,0
Nice,Paris FC,1,1,1,0,5,5,1,1,0,0
Angers,Brest,0,2,0,2,11,4,1,1,0,0
Lille,Lyon,0,1,0,1,3,4,4,4,1,0
Metz,Le Havre,0,0,0,0,4,6,2,2,0,0
Rennes,Lens,0,0,0,0,8,4,3,2,0,1
Paris FC,Lorient,2,0,2,0,1,5,0,2,0,0
Metz,Marseille,0,3,0,0,4,4,0,0,0,0
Brest,Nantes,0,0,0,0,12,3,2,1,0,0
Auxerre,Lens,1,2,0,1,2,2,3,7,0,1
