HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Luton,AFC Wimbledon,1,0,0,0,5,2,1,1,0,0
Cardiff,Peterboro,2,1,0,1,4,2,3,1,0,0
Blackpool,Stevenage,2,3,1,2,2,2,1,4,0,0
Bradford,Wycombe,2,1,2,0,2,6,3,4,0,0
Burton,Mansfield,2,1,1,0,1,7,2,2,0,0
Doncaster,Exeter,1,0,0,0,7,1,0,0,0,0
Huddersfield,Leyton Orient,3,0,1,0,6,3,3,0,0,0
Lincoln,Reading,2,0,1,0,3,9,1,0,0,0
Plymouth,Barnsley,1,3,0,2,9,5,2,3,0,1
Rotherham,Port Vale,2,1,2,0,6,3,1,1,1,1
Wigan,Northampton,3,1,2,0,9,3,0,2,0,0
Stockport,Bolton,2,0,1,0,9,7,2,1,0,0
Port Vale,Cardiff,0,0,0,0,5,4,3,1,0,0
Peterboro,Luton,0,2,0,0,3,6,2,2,0,0
Reading,Huddersfield,0,2,0,0,4,10,4,2,0,0
AFC Wimbledon,Lincoln,2,0,1,0,6,3,0,0,0,1
Barnsley,Burton,3,2,0,2,7,4,3,1,0,0
Bolton,Plymouth,2,0,1,0,8,3,2,4,0,0
Exeter,Blackpool,4,1,2,1,6,5,1,1,0,0
Leyton Orient,Wigan,2,0,1,0,2,3,0,1,0,1
Mansfield,Doncaster,1,2,0,0,2,5,2,1,0,0
Northampton,Bradford,0,0,0,0,6,3,2,5,0,0
Stevenage,Rotherham,1,0,1,0,5,5,3,2,0,0
Wycombe,Stockport,1,2,0,1,8,4,3,1,0,0
Burton,Port Vale,0,0,0,0,9,3,4,1,0,1
Exeter,Mansfield,1,2,0,1,3,4,2,1,0,0
Barnsley,Bolton,1,1,0,0,3,2,2,2,1,0
Blackpool,Huddersfield,3,2,3,2,1,7,0,2,1,0
Bradford,Luton,2,1,1,0,2,9,2,2,0,0
Cardiff,Rotherham,3,0,1,0,7,0,2,3,0,0
Doncaster,Wycombe,1,1,0,0,6,3,3,2,0,0
Leyton Orient,Stockport,2,2,0,2,6,4,2,2,0,0
Lincoln,Plymouth,3,2,1,0,4,6,6,3,0,1
