HomeTeam,AwayTeam,FTHG,FTAG
Gefle,Kalmar,0,0
Djurgarden,Mjallby,0,1
Norrkoping,GAIS,7,2
Syrianska,Malmo FF,0,2
Goteborg,Hacken,1,1
Malmo FF,Norrkoping,2,0
Hacken,Syrianska,5,1
Atvidabergs,Goteborg,1,2
AIK,Gefle,0,1
Kalmar,Djurgarden,2,2
Mjallby,Helsingborg,0,2
GAIS,Elfsborg,1,2
Orebro,Sundsvall,2,2
Gefle,Atvidabergs,1,2
Mjallby,Hacken,1,2
Helsingborg,Orebro,1,1
Kalmar,Malmo FF,1,2
Goteborg,AIK,0,1
Norrkoping,Elfsborg,2,1
Djurgarden,GAIS,3,0
Syrianska,Sundsvall,1,1
Malmo FF,Djurgarden,3,1
Hacken,Kalmar,1,2
AIK,Syrianska,1,1
GAIS,Helsingborg,1,3
Orebro,Goteborg,1,0
Sundsvall,Norrkoping,0,4
Atvidabergs,Mjallby,0,0
Elfsborg,Gefle,2,0
Helsingborg,Goteborg,2,0
Kalmar,Norrkoping,0,2
Djurgarden,Syrianska,1,1
Atvidabergs,Sundsvall,2,2
GAIS,Gefle,2,3
Mjallby,Elfsborg,2,3
Hacken,AIK,1,1
Malmo FF,Orebro,1,1
AIK,Malmo FF,2,0
Elfsborg,Atvidabergs,1,1
Gefle,Helsingborg,2,2
Goteborg,Djurgarden,1,0
Norrkoping,Mjallby,2,1
Orebro,GAIS,4,0
Sundsvall,Hacken,1,2
Syrianska,Kalmar,3,0
Halmstad,Sundsvall,3,0
Sundsvall,Halmstad,4,3
Hacken,Goteborg,0,3
Helsingborg,Djurgarden,3,0
Syrianska,Kalmar,0,3
Gefle,Atvidabergs,1,0
Malmo FF,Halmstad,1,1
Mjallby,Norrkoping,1,2
Brommapojkarna,Osters,2,2
Elfsborg,AIK,2,2
Atvidabergs,Malmo FF,1,3
AIK,Syrianska,0,0
Goteborg,Brommapojkarna,2,0
Halmstad,Elfsborg,1,1
Kalmar,Hacken,0,0
Djurgarden,Mjallby,0,3
Norrkoping,Gefle,2,1
Osters,Helsingborg,1,1
Brommapojkarna,Norrkoping,1,0
Syrianska,Osters,0,1
Atvidabergs,AIK,1,0
Malmo FF,Kalmar,1,0
Gefle,Halmstad,2,0
Hacken,Djurgarden,4,0
Helsingborg,Mjallby,1,2
Elfsborg,Goteborg,0,0
Halmstad,Atvidabergs,0,0
Osters,Hacken,2,0
AIK,Malmo FF,0,1
Djurgarden,Brommapojkarna,1,1
Goteborg,Syrianska,2,0
Kalmar,Elfsborg,1,1
Mjallby,Gefle,1,0
Norrkoping,Helsingborg,1,4
Atvidabergs,Goteborg,1,2
Halmstad,Kalmar,1,2
Brommapojkarna,Helsingborg,0,2
Hacken,Mjallby,2,0
Gefle,AIK,1,2
Malmo FF,Osters,2,0
Syrianska,Norrkoping,3,1
Elfsborg,Djurgarden,2,0
Goteborg,Malmo FF,1,1
Norrkoping,Hacken,4,2
Djurgarden,Syrianska,0,1
Helsingborg,Gefle,5,1
Kalmar,Atvidabergs,0,0
AIK,Halmstad,3,3
Mjallby,Brommapojkarna,4,2
Osters,Elfsborg,1,3
Malmo FF,Norrkoping,1,1
Atvidabergs,Djurgarden,5,1
Elfsborg,Mjallby,2,1
Halmstad,Osters,1,0
Syrianska,Helsingborg,0,1
Gefle,Kalmar,1,1
Hacken,Brommapojkarna,1,0
AIK,Goteborg,3,1
Norrkoping,Elfsborg,1,2
Goteborg,Halmstad,1,0
Kalmar,AIK,2,1
Mjallby,Syrianska,4,1
Djurgarden,Malmo FF,3,2
Brommapojkarna,Gefle,4,1
Osters,Atvidabergs,0,1
Helsingborg,Hacken,5,0
Mjallby,Malmo FF,2,2
Brommapojkarna,Syrianska,1,1
Hacken,Gefle,2,2
Osters,AIK,2,3
Djurgarden,Halmstad,1,0
Goteborg,Kalmar,2,0
Norrkoping,Atvidabergs,2,1
Helsingborg,Elfsborg,2,1
Gefle,Goteborg,1,1
AIK,Djurgarden,1,1
Atvidabergs,Mjallby,3,0
Elfsborg,Brommapojkarna,6,0
Halmstad,Norrkoping,1,1
Syrianska,Hacken,0,3
Kalmar,Osters,3,1
Syrianska,Gefle,2,2
Malmo FF,Helsingborg,1,1
Djurgarden,Kalmar,1,0
Norrkoping,AIK,0,1
Osters,Goteborg,2,0
Brommapojkarna,Malmo FF,1,3
Hacken,Elfsborg,0,1
Helsingborg,Atvidabergs,3,0
Mjallby,Halmstad,5,1
Gefle,Osters,0,0
Kalmar,Norrkoping,2,2
Goteborg,Djurgarden,0,0
Brommapojkarna,Halmstad,1,1
Elfsborg,Gefle,0,0
Hacken,Atvidabergs,0,2
Mjallby,Kalmar,0,2
Syrianska,Malmo FF,2,3
Norrkoping,Goteborg,1,2
Atvidabergs,Syrianska,1,0
Halmstad,Hacken,0,2
Kalmar,Helsingborg,1,1
AIK,Brommapojkarna,4,0
Gefle,Djurgarden,1,1
Goteborg,Mjallby,4,2
Osters,Norrkoping,0,2
Malmo FF,Elfsborg,2,1
Malmo FF,Hacken,1,3
Helsingborg,AIK,1,2
Elfsborg,Syrianska,5,1
Djurgarden,Osters,2,0
AIK,Mjallby,0,0
Atvidabergs,Brommapojkarna,4,1
Brommapojkarna,Kalmar,0,1
Elfsborg,Atvidabergs,0,1
Mjallby,Osters,1,1
Malmo FF,Gefle,3,1
AIK,Hacken,2,0
Syrianska,Halmstad,1,2
Helsingborg,Goteborg,1,1
Brommapojkarna,Goteborg,2,1
Elfsborg,Halmstad,2,2
Hacken,Kalmar,0,1
Gefle,Norrkoping,2,2
Mjallby,Djurgarden,2,0
Malmo FF,Atvidabergs,4,0
Syrianska,AIK,1,2
Helsingborg,Osters,3,0
Djurgarden,Norrkoping,1,2
Hacken,AIK,2,3
Halmstad,Helsingborg,0,1
Atvidabergs,Elfsborg,1,1
Kalmar,Brommapojkarna,2,2
Osters,Mjallby,1,1
Gefle,Malmo FF,2,0
Goteborg,Helsingborg,2,4
Halmstad,Syrianska,1,1
Kalmar,Syrianska,1,0
Osters,Brommapojkarna,0,0
AIK,Elfsborg,2,1
Atvidabergs,Gefle,1,1
Halmstad,Malmo FF,1,3
Goteborg,Hacken,3,1
Norrkoping,Mjallby,3,2
Djurgarden,Helsingborg,2,1
Atvidabergs,Halmstad,0,1
Brommapojkarna,Djurgarden,3,0
Elfsborg,Kalmar,1,0
Gefle,Mjallby,2,1
Helsingborg,Norrkoping,0,0
Syrianska,Goteborg,0,2
Hacken,Osters,0,2
Malmo FF,AIK,1,0
Osters,Syrianska,1,0
Goteborg,Elfsborg,3,1
Norrkoping,Brommapojkarna,2,1
Djurgarden,Hacken,1,1
Halmstad,Gefle,2,2
Kalmar,Malmo FF,1,4
AIK,Atvidabergs,3,2
Mjallby,Helsingborg,4,3
Norrkoping,Djurgarden,2,3
Elfsborg,Osters,2,4
Gefle,Helsingborg,1,2
Halmstad,AIK,1,0
Malmo FF,Goteborg,3,1
Atvidabergs,Kalmar,0,0
Brommapojkarna,Mjallby,2,0
Hacken,Norrkoping,1,0
Syrianska,Djurgarden,1,3
Helsingborg,Brommapojkarna,4,2
AIK,Gefle,3,0
Goteborg,Atvidabergs,3,0
Norrkoping,Syrianska,6,1
Osters,Malmo FF,1,1
Djurgarden,Elfsborg,1,2
Kalmar,Halmstad,1,0
Mjallby,Hacken,1,1
Atvidabergs,Osters,4,0
Gefle,Brommapojkarna,1,0
AIK,Kalmar,0,0
Elfsborg,Norrkoping,4,1
Halmstad,Goteborg,0,1
Hacken,Helsingborg,3,2
Syrianska,Mjallby,1,2
Malmo FF,Djurgarden,0,2
Osters,Halmstad,0,1
Kalmar,Gefle,0,0
Brommapojkarna,Hacken,1,0
Mjallby,Elfsborg,2,2
Djurgarden,Atvidabergs,2,0
Helsingborg,Syrianska,2,2
Norrkoping,Malmo FF,0,2
Goteborg,AIK,3,1
Osters,Kalmar,1,2
Brommapojkarna,Elfsborg,1,0
Hacken,Syrianska,4,0
Helsingborg,Malmo FF,0,3
Goteborg,Gefle,3,1
Mjallby,Atvidabergs,0,1
Norrkoping,Halmstad,3,2
Djurgarden,AIK,2,2
Syrianska,Brommapojkarna,1,2
Halmstad,Djurgarden,1,4
Kalmar,Goteborg,2,1
Elfsborg,Helsingborg,1,1
AIK,Osters,2,1
Gefle,Hacken,0,0
Malmo FF,Mjallby,1,0
Atvidabergs,Norrkoping,1,3
Mjallby,AIK,2,3
Brommapojkarna,Atvidabergs,0,0
Norrkoping,Kalmar,0,1
Djurgarden,Goteborg,2,1
Osters,Gefle,1,4
Syrianska,Elfsborg,1,3
Hacken,Malmo FF,2,0
Helsingborg,Halmstad,4,2
Gefle,Syrianska,2,0
Atvidabergs,Helsingborg,3,0
Goteborg,Osters,0,0
Elfsborg,Hacken,0,0
Malmo FF,Brommapojkarna,2,1
AIK,Norrkoping,1,0
Kalmar,Djurgarden,1,2
Halmstad,Mjallby,1,0
Hacken,Halmstad,1,3
Brommapojkarna,AIK,0,6
Djurgarden,Gefle,1,1
Mjallby,Goteborg,2,1
Helsingborg,Kalmar,2,3
Syrianska,Atvidabergs,4,1
Norrkoping,Osters,1,1
Elfsborg,Malmo FF,0,2
AIK,Helsingborg,2,1
Atvidabergs,Hacken,2,2
Gefle,Elfsborg,0,2
Goteborg,Norrkoping,2,0
Halmstad,Brommapojkarna,2,2
Kalmar,Mjallby,2,1
Malmo FF,Syrianska,3,1
Osters,Djurgarden,1,1
Sundsvall,Halmstad,1,1
Halmstad,Sundsvall,2,1
Brommapojkarna,Kalmar,1,2
Helsingborg,Djurgarden,1,1
Mjallby,Gefle,2,2
Halmstad,Orebro,1,2
Malmo FF,Falkenbergs,3,0
Atvidabergs,Elfsborg,2,1
Hacken,Norrkoping,2,0
AIK,Goteborg,0,2
Elfsborg,Hacken,3,1
Falkenbergs,Brommapojkarna,1,0
Djurgarden,Halmstad,3,0
Gefle,AIK,1,2
Norrkoping,Helsingborg,2,0
Kalmar,Atvidabergs,2,2
Goteborg,Malmo FF,0,3
Orebro,Mjallby,1,0
Mjallby,Djurgarden,0,2
Atvidabergs,Falkenbergs,2,0
Malmo FF,Gefle,1,0
AIK,Orebro,1,1
Halmstad,Norrkoping,0,0
Helsingborg,Hacken,4,2
Brommapojkarna,Goteborg,1,1
Kalmar,Elfsborg,0,0
Hacken,Halmstad,3,0
Norrkoping,Mjallby,1,1
Orebro,Malmo FF,1,2
Djurgarden,AIK,2,3
Falkenbergs,Kalmar,1,3
Gefle,Brommapojkarna,3,0
Goteborg,Atvidabergs,5,0
