HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Barnet,Grimsby,3,0,1,0,9,4,2,0,0,0
Barrow,Crewe,1,0,0,0,2,8,2,2,0,0
Bromley,Chesterfield,2,2,1,1,10,4,2,3,0,0
Cheltenham,Oldham,0,3,0,1,6,7,3,0,0,0
Colchester,Bristol Rvs,1,1,0,1,4,2,2,5,0,0
Milton Keynes Dons,Accrington,1,2,0,1,3,5,3,2,1,0
Newport County,Gillingham,1,3,1,3,5,5,2,4,0,0
Notts County,Crawley Town,4,0,1,0,6,1,0,2,0,0
Salford,Swindon,3,2,2,0,6,10,1,2,0,0
Walsall,Tranmere,4,2,2,1,8,8,0,1,0,0
Crewe,Notts County,2,1,1,1,8,5,3,4,0,0
Oldham,Barnet,1,1,0,1,4,6,2,3,0,0
Accrington,Walsall,1,3,0,0,8,3,0,1,0,0
Bristol Rvs,Salford,2,1,1,1,2,5,1,4,0,1
Chesterfield,Newport County,4,1,2,0,4,3,3,2,0,0
Crawley Town,Barrow,1,2,0,2,12,7,3,3,0,0
Fleetwood Town,Colchester,4,2,1,2,4,1,0,0,0,0
Gillingham,Harrogate,0,1,0,1,12,1,1,1,0,0
Grimsby,Cheltenham,7,1,2,1,8,1,0,2,0,2
Shrewsbury,Milton Keynes Dons,1,2,0,2,7,1,2,0,0,0
Swindon,Bromley,2,0,2,0,6,4,2,1,0,0
Tranmere,Cambridge,0,0,0,0,1,7,1,2,0,0
Milton Keynes Dons,Gillingham,3,2,1,0,3,4,2,3,0,0
Newport County,Swindon,0,1,0,1,5,6,4,5,0,0
Barnet,Accrington,2,0,1,0,4,4,1,3,0,0
Barrow,Shrewsbury,0,0,0,0,3,7,2,2,0,0
Bromley,Tranmere,3,3,2,1,8,2,2,3,1,0
Cambridge,Crawley Town,3,1,1,0,2,10,2,5,0,0
Cheltenham,Fleetwood Town,2,0,0,0,0,6,1,4,0,0
Colchester,Chesterfield,6,2,4,1,3,3,1,1,0,0
Notts County,Oldham,3,1,2,0,2,9,1,1,0,0
Salford,Grimsby,0,2,0,2,4,5,3,3,0,0
Walsall,Bristol Rvs,2,1,0,1,3,2,3,3,0,0
Harrogate,Crewe,1,2,1,1,3,6,2,0,0,0
Accrington,Newport County,0,1,0,1,4,3,1,1,0,0
Bristol Rvs,Milton Keynes Dons,0,4,0,1,7,2,2,2,0,0
Chesterfield,Salford,2,0,0,0,4,7,3,2,0,0
Crawley Town,Walsall,1,1,1,0,4,7,2,2,0,0
Crewe,Bromley,0,1,0,0,5,5,1,2,0,0
Fleetwood Town,Harrogate,3,2,1,1,4,3,0,0,0,0
Gillingham,Cheltenham,1,1,0,0,11,2,0,2,0,0
Grimsby,Colchester,1,2,1,1,6,3,3,4,0,0
Shrewsbury,Cambridge,2,0,2,0,3,3,2,1,0,0
Tranmere,Barnet,0,2,0,2,2,6,0,4,0,1
Oldham,Barrow,0,0,0,0,7,4,1,1,0,0
Cambridge,Bromley,2,1,2,0,3,3,2,1,0,0
Salford,Oldham,1,0,1,0,7,7,3,2,0,1
Accrington,Swindon,4,0,1,0,3,5,0,3,0,1
Barnet,Notts County,0,1,0,0,12,2,3,2,0,0
Bristol Rvs,Tranmere,1,4,0,1,6,5,2,2,0,0
Chesterfield,Fleetwood Town,1,1,1,1,9,9,1,3,0,0
Colchester,Harrogate,3,1,3,1,5,4,1,3,0,0
Grimsby,Gillingham,1,0,0,0,6,2,3,4,0,2
Milton Keynes Dons,Crewe,3,1,2,0,4,7,4,0,0,0
Newport County,Cheltenham,0,2,0,1,3,3,4,1,0,0
Shrewsbury,Crawley Town,1,0,0,0,6,6,3,3,0,1
Walsall,Barrow,1,2,0,1,14,0,1,2,0,1
Swindon,Notts County,2,2,1,1,6,1,2,4,0,0
Cheltenham,Walsall,1,0,0,0,1,4,2,1,0,0
Fleetwood Town,Accrington,2,1,0,1,7,9,1,3,0,0
Barrow,Barnet,2,2,1,0,4,7,2,1,1,0
Bromley,Milton Keynes Dons,2,1,0,1,7,2,1,0,0,0
Crawley Town,Bristol Rvs,4,0,1,0,5,3,2,3,0,1
Crewe,Grimsby,3,2,2,2,3,3,1,1,0,0
Gillingham,Salford,1,2,1,2,5,5,2,5,0,0
Harrogate,Newport County,0,3,0,1,4,1,2,0,0,0
Notts County,Cambridge,2,0,0,0,0,5,0,4,0,0
Oldham,Shrewsbury,2,2,0,0,7,2,1,4,0,0
Swindon,Colchester,0,0,0,0,1,5,1,0,0,0
Tranmere,Chesterfield,1,1,0,1,4,7,0,2,0,0
Accrington,Tranmere,1,1,1,0,4,2,1,2,0,0
Colchester,Bromley,0,2,0,0,9,2,2,3,0,0
Crewe,Shrewsbury,3,1,1,1,7,4,2,4,0,0
Barnet,Milton Keynes Dons,2,2,2,1,6,2,1,4,0,0
Barrow,Grimsby,2,2,1,2,3,2,3,1,0,0
Bristol Rvs,Gillingham,0,1,0,0,12,3,1,4,0,0
Chesterfield,Accrington,3,3,1,2,11,3,3,5,0,0
Crawley Town,Fleetwood Town,2,1,1,0,11,3,2,2,0,1
Harrogate,Oldham,0,1,0,1,8,6,2,1,0,1
Newport County,Walsall,2,4,2,3,4,5,4,2,0,0
Salford,Cambridge,0,0,0,0,4,4,4,2,0,0
Swindon,Tranmere,2,1,0,0,8,3,3,3,0,0
Cheltenham,Notts County,1,2,0,2,5,7,0,3,0,0
Accrington,Bristol Rvs,3,1,1,0,3,5,3,3,0,0
Bromley,Barrow,2,1,1,0,4,1,1,2,0,0
Cambridge,Barnet,0,0,0,0,3,7,2,0,0,0
Fleetwood Town,Swindon,1,1,1,1,9,6,0,3,0,0
Grimsby,Chesterfield,0,1,0,0,11,5,2,3,0,0
Milton Keynes Dons,Salford,2,0,1,0,3,4,2,2,0,0
Notts County,Harrogate,1,1,0,1,11,1,0,2,0,0
Oldham,Crewe,0,0,0,0,5,6,2,1,0,0
Shrewsbury,Newport County,1,0,0,0,8,4,4,2,0,0
Tranmere,Cheltenham,3,2,2,1,2,7,2,1,0,0
Walsall,Colchester,0,2,0,2,5,1,2,4,0,0
Gillingham,Crawley Town,2,2,1,0,8,7,1,2,0,0
Gillingham,Barnet,1,1,1,1,2,7,4,3,0,0
Harrogate,Walsall,0,2,0,1,2,7,1,2,0,0
Barrow,Cambridge,0,2,0,0,4,3,1,2,0,0
Bromley,Salford,2,0,2,0,4,7,0,2,0,0
Cheltenham,Bristol Rvs,1,0,0,0,6,7,4,1,0,0
Crawley Town,Accrington,1,1,0,1,7,4,3,2,0,0
Crewe,Chesterfield,3,3,1,2,5,2,2,1,0,0
Fleetwood Town,Shrewsbury,3,1,1,0,3,2,0,1,1,0
Notts County,Colchester,1,3,1,1,4,3,1,3,0,0
Oldham,Newport County,3,0,0,0,9,6,2,1,0,0
Swindon,Grimsby,2,2,2,2,6,8,2,2,0,0
Tranmere,Milton Keynes Dons,2,2,2,0,1,8,2,1,0,1
Grimsby,Tranmere,1,2,0,1,5,1,0,4,0,0
Accrington,Oldham,1,0,1,0,2,6,4,2,0,0
Milton Keynes Dons,Fleetwood Town,2,1,1,0,6,2,2,0,0,0
Barnet,Harrogate,1,1,1,0,7,3,0,2,0,0
Bristol Rvs,Notts County,0,1,0,0,9,2,2,5,0,1
Cambridge,Crewe,2,1,0,0,10,1,1,2,0,0
Chesterfield,Swindon,1,2,1,1,7,3,1,3,0,1
Colchester,Cheltenham,2,0,1,0,1,1,1,2,0,0
Newport County,Barrow,2,2,1,1,2,2,0,1,0,0
Salford,Crawley Town,4,3,1,1,12,4,1,2,0,0
Shrewsbury,Gillingham,3,3,3,1,1,9,2,2,0,0
Walsall,Bromley,3,1,0,1,4,9,1,3,0,0
Colchester,Gillingham,0,0,0,0,1,6,1,4,0,0
Barnet,Bristol Rvs,4,0,2,0,9,5,2,1,0,0
Barrow,Tranmere,0,3,0,0,5,5,4,1,1,0
Bromley,Crawley Town,3,1,1,1,8,3,2,2,0,0
Cambridge,Chesterfield,1,1,1,0,5,1,0,0,0,0
Fleetwood Town,Salford,1,1,0,1,2,6,2,1,0,0
Harrogate,Accrington,0,2,0,1,3,6,2,1,0,0
Notts County,Milton Keynes Dons,3,2,2,2,2,1,2,3,0,0
Shrewsbury,Grimsby,1,1,1,1,2,6,2,2,0,0
Swindon,Cheltenham,0,1,0,0,6,6,2,2,0,0
Crewe,Newport County,2,2,1,0,4,1,1,2,0,1
Oldham,Walsall,0,1,0,1,4,4,3,2,0,0
Bristol Rvs,Swindon,0,3,0,3,4,7,1,0,1,1
Salford,Colchester,4,3,1,1,5,3,3,0,0,0
Accrington,Bromley,0,1,0,0,7,4,1,2,0,0
Cheltenham,Harrogate,1,1,0,0,5,5,2,1,0,0
Chesterfield,Barnet,3,1,2,1,5,13,3,0,0,0
Crawley Town,Oldham,2,2,1,0,4,7,1,3,0,0
Gillingham,Barrow,2,2,2,0,4,2,0,1,0,0
Grimsby,Notts County,0,2,0,0,6,3,1,3,0,0
Milton Keynes Dons,Cambridge,1,1,1,0,7,4,2,1,0,0
Newport County,Fleetwood Town,0,2,0,2,3,4,2,2,1,0
Tranmere,Crewe,1,4,0,2,8,2,4,2,0,0
Walsall,Shrewsbury,1,1,1,0,5,5,1,4,0,0
Barrow,Cheltenham,1,2,0,1,11,4,0,0,0,0
Cambridge,Accrington,2,0,1,0,7,6,1,0,0,0
Crewe,Bristol Rvs,1,1,1,1,3,3,2,3,1,0
Bromley,Grimsby,2,0,1,0,2,7,2,3,0,0
Notts County,Walsall,0,0,0,0,6,1,1,2,0,0
Barnet,Salford,1,3,0,2,3,4,0,2,0,0
Colchester,Newport County,4,1,2,0,2,2,1,2,0,0
Fleetwood Town,Gillingham,2,1,0,1,10,3,3,2,0,0
Harrogate,Milton Keynes Dons,0,4,0,3,2,3,2,0,0,0
Oldham,Tranmere,3,1,1,1,5,3,3,1,1,0
Shrewsbury,Chesterfield,0,1,0,0,4,3,0,3,0,0
Swindon,Crawley Town,1,0,0,0,1,12,1,3,0,0
Accrington,Barrow,2,1,1,1,4,5,0,2,0,0
Bristol Rvs,Bromley,2,3,2,0,4,2,2,1,1,0
Cheltenham,Shrewsbury,3,1,2,0,4,5,2,3,0,0
Chesterfield,Notts County,2,0,0,0,3,5,3,3,0,0
Crawley Town,Colchester,1,1,1,1,4,6,2,2,0,0
Gillingham,Cambridge,1,1,0,1,6,5,1,0,0,0
Grimsby,Oldham,0,0,0,0,11,2,1,2,0,0
Milton Keynes Dons,Swindon,1,0,1,0,5,8,1,2,0,0
Newport County,Barnet,0,0,0,0,1,7,1,0,0,0
Salford,Harrogate,1,0,0,0,7,3,1,1,0,0
Tranmere,Fleetwood Town,1,0,1,0,6,7,5,2,0,0
Walsall,Crewe,1,0,1,0,2,10,1,2,0,0
Newport County,Crewe,2,0,1,0,6,4,1,3,0,0
Accrington,Harrogate,1,0,1,0,8,3,1,0,0,1
Bristol Rvs,Barnet,0,2,0,1,3,5,3,2,0,0
Cheltenham,Swindon,0,2,0,0,7,4,0,2,0,0
Chesterfield,Cambridge,0,1,0,1,5,5,1,4,0,0
Crawley Town,Bromley,1,3,1,1,1,8,1,1,0,0
Gillingham,Colchester,1,1,0,0,6,5,1,1,0,0
Grimsby,Shrewsbury,1,0,0,0,6,2,2,2,0,0
Milton Keynes Dons,Notts County,1,1,0,1,1,5,2,3,0,0
Salford,Fleetwood Town,0,0,0,0,6,4,2,2,0,0
Tranmere,Barrow,1,3,0,3,7,3,2,2,0,1
Walsall,Oldham,1,2,0,1,4,7,2,2,0,0
Barnet,Crawley Town,2,1,1,1,13,5,1,2,0,0
Barrow,Salford,1,2,1,1,5,3,2,1,0,0
Bromley,Newport County,2,1,1,0,6,3,2,1,0,0
Cambridge,Walsall,2,0,1,0,2,6,0,1,0,0
Colchester,Milton Keynes Dons,1,0,0,0,6,3,1,2,0,0
Crewe,Cheltenham,4,1,3,1,6,5,0,1,0,0
Fleetwood Town,Grimsby,0,1,0,0,4,2,3,2,0,0
Harrogate,Tranmere,0,2,0,0,10,4,2,1,0,0
Notts County,Accrington,0,1,0,0,8,5,5,4,0,0
Oldham,Chesterfield,1,1,0,1,6,4,3,0,0,1
Shrewsbury,Bristol Rvs,0,3,0,0,8,3,2,1,0,0
Swindon,Gillingham,2,0,0,0,8,8,4,3,0,0
Cheltenham,Crawley Town,3,0,0,0,8,2,1,2,0,0
Milton Keynes Dons,Chesterfield,2,2,2,0,4,6,4,2,0,0
Crewe,Harrogate,1,1,0,0,7,3,2,1,0,0
Tranmere,Bromley,0,2,0,1,4,4,2,3,0,0
Chesterfield,Bromley,0,0,0,0,10,8,2,0,0,0
Tranmere,Walsall,1,3,0,2,3,10,1,2,0,0
Accrington,Milton Keynes Dons,0,2,0,2,2,3,2,2,0,0
Bristol Rvs,Colchester,0,1,0,0,4,5,4,2,0,0
Crawley Town,Notts County,1,2,0,0,5,7,1,2,1,0
Crewe,Barrow,3,1,3,1,3,8,4,3,0,0
Fleetwood Town,Cambridge,1,2,0,1,2,5,3,0,0,0
Gillingham,Newport County,3,2,1,1,4,5,3,2,0,0
Grimsby,Barnet,1,0,0,0,5,7,1,1,0,1
Oldham,Cheltenham,2,1,1,1,5,6,4,1,0,0
Shrewsbury,Harrogate,1,0,0,0,8,4,3,5,0,1
Swindon,Salford,2,3,1,2,6,4,2,4,0,0
Barnet,Oldham,3,2,2,1,1,6,3,1,1,0
Notts County,Crewe,1,0,1,0,7,5,2,2,0,0
Barrow,Crawley Town,0,1,0,0,11,1,2,0,0,0
Bromley,Swindon,2,1,0,1,8,4,2,0,0,0
Cambridge,Tranmere,4,2,0,1,7,1,2,3,0,0
Cheltenham,Grimsby,0,2,0,1,7,2,2,3,0,0
Colchester,Fleetwood Town,2,1,2,0,4,5,3,2,0,0
Harrogate,Gillingham,0,3,0,0,3,3,1,1,0,0
Milton Keynes Dons,Shrewsbury,5,1,3,0,1,1,1,4,0,0
Newport County,Chesterfield,2,1,0,0,2,8,3,0,0,0
Salford,Bristol Rvs,1,0,1,0,9,4,2,0,0,0
Walsall,Accrington,0,0,0,0,5,5,5,3,0,0
