HomeTeam,AwayTeam,FTHG,FTAG
Shanghai SIPG,Liaoning,3,3
Zhejiang Yiteng,Shandong Luneng,2,0
Henan Songshan Longmen,Guangzhou Evergrande,0,1
Beijing Guoan,Dalian Yifang F.C.,4,1
Shandong Luneng,Jiangsu Suning,2,2
Hangzhou Greentown,Shanghai Shenhua,0,0
Tianjin Jinmen Tiger,Beijing Renhe,1,2
Shanghai Shenxin,Shanghai SIPG,1,3
Zhejiang Yiteng,Guangzhou Evergrande,3,6
Liaoning,Guangzhou R&F,1,5
Henan Songshan Longmen,Changchun Yatai,0,0
Shandong Luneng,Tianjin Jinmen Tiger,2,2
Shanghai Shenhua,Beijing Guoan,0,3
Dalian Yifang F.C.,Henan Songshan Longmen,1,1
Changchun Yatai,Guangzhou Evergrande,2,1
Guangzhou R&F,Shanghai Shenxin,0,1
Beijing Renhe,Liaoning,1,0
Shanghai SIPG,Hangzhou Greentown,2,1
Changchun Yatai,Dalian Yifang F.C.,1,1
Shanghai Shenxin,Beijing Renhe,0,1
Guangzhou Evergrande,Jiangsu Suning,3,0
Zhejiang Yiteng,Tianjin Jinmen Tiger,0,0
Beijing Guoan,Shanghai SIPG,2,0
Liaoning,Shandong Luneng,0,0
Hangzhou Greentown,Guangzhou R&F,1,3
Henan Songshan Longmen,Shanghai Shenhua,2,2
Dalian Yifang F.C.,Guangzhou Evergrande,1,2
Guangzhou R&F,Beijing Guoan,3,1
Shandong Luneng,Shanghai Shenxin,4,0
Beijing Renhe,Hangzhou Greentown,2,1
Tianjin Jinmen Tiger,Jiangsu Suning,1,2
Shanghai SIPG,Henan Songshan Longmen,1,0
Zhejiang Yiteng,Liaoning,2,2
Shanghai Shenhua,Changchun Yatai,2,3
Zhejiang Yiteng,Shanghai Shenxin,0,1
Hangzhou Greentown,Shandong Luneng,4,1
Guangzhou Evergrande,Tianjin Jinmen Tiger,2,1
Dalian Yifang F.C.,Shanghai Shenhua,0,1
Changchun Yatai,Shanghai SIPG,1,2
Liaoning,Jiangsu Suning,0,2
Henan Songshan Longmen,Guangzhou R&F,4,0
Beijing Guoan,Beijing Renhe,2,1
Shandong Luneng,Beijing Guoan,2,2
Shanghai SIPG,Dalian Yifang F.C.,2,0
Guangzhou R&F,Changchun Yatai,3,1
Beijing Renhe,Henan Songshan Longmen,3,1
Jiangsu Suning,Shanghai Shenxin,0,3
Tianjin Jinmen Tiger,Liaoning,1,2
Zhejiang Yiteng,Hangzhou Greentown,3,1
Dalian Yifang F.C.,Guangzhou R&F,0,0
Shanghai Shenxin,Tianjin Jinmen Tiger,0,1
Beijing Guoan,Zhejiang Yiteng,2,0
Beijing Renhe,Changchun Yatai,0,1
Hangzhou Greentown,Jiangsu Suning,3,1
Shanghai Shenhua,Shanghai SIPG,1,1
Guangzhou Evergrande,Liaoning,6,0
Henan Songshan Longmen,Shandong Luneng,1,2
Shandong Luneng,Changchun Yatai,1,0
Beijing Renhe,Dalian Yifang F.C.,0,2
Jiangsu Suning,Beijing Guoan,2,3
Shanghai SIPG,Guangzhou Evergrande,0,3
Zhejiang Yiteng,Henan Songshan Longmen,2,2
Guangzhou R&F,Shanghai Shenhua,4,0
Liaoning,Shanghai Shenxin,3,0
Tianjin Jinmen Tiger,Hangzhou Greentown,1,2
Zhejiang Yiteng,Jiangsu Suning,1,2
Dalian Yifang F.C.,Shandong Luneng,1,3
Beijing Guoan,Tianjin Jinmen Tiger,2,1
Shanghai Shenhua,Beijing Renhe,1,0
Guangzhou Evergrande,Shanghai Shenxin,2,1
Changchun Yatai,Zhejiang Yiteng,0,2
Hangzhou Greentown,Liaoning,3,4
Shanghai SIPG,Guangzhou R&F,1,2
Henan Songshan Longmen,Jiangsu Suning,1,1
Zhejiang Yiteng,Dalian Yifang F.C.,0,1
Shandong Luneng,Shanghai Shenhua,2,0
Jiangsu Suning,Changchun Yatai,0,2
Guangzhou R&F,Guangzhou Evergrande,3,4
Liaoning,Beijing Guoan,1,3
Beijing Renhe,Shanghai SIPG,1,1
Tianjin Jinmen Tiger,Henan Songshan Longmen,1,1
Changchun Yatai,Tianjin Jinmen Tiger,1,1
Dalian Yifang F.C.,Jiangsu Suning,2,2
Shanghai Shenhua,Zhejiang Yiteng,2,1
Henan Songshan Longmen,Liaoning,1,0
Guangzhou R&F,Beijing Renhe,1,0
Shanghai SIPG,Shandong Luneng,0,0
Beijing Guoan,Shanghai Shenxin,2,1
Guangzhou Evergrande,Hangzhou Greentown,4,0
Shanghai Shenxin,Hangzhou Greentown,1,1
Beijing Renhe,Guangzhou Evergrande,1,2
Jiangsu Suning,Shanghai Shenhua,1,1
Zhejiang Yiteng,Shanghai SIPG,1,1
Liaoning,Changchun Yatai,3,1
Shandong Luneng,Guangzhou R&F,3,3
Hangzhou Greentown,Beijing Guoan,1,2
Tianjin Jinmen Tiger,Dalian Yifang F.C.,2,1
Shanghai Shenxin,Henan Songshan Longmen,2,1
Beijing Renhe,Shandong Luneng,0,0
Changchun Yatai,Shanghai Shenxin,0,2
Dalian Yifang F.C.,Liaoning,1,2
Guangzhou Evergrande,Beijing Guoan,0,1
Guangzhou R&F,Zhejiang Yiteng,5,1
Henan Songshan Longmen,Hangzhou Greentown,3,0
Shanghai Shenhua,Tianjin Jinmen Tiger,2,5
Shanghai SIPG,Jiangsu Suning,3,0
Beijing Guoan,Henan Songshan Longmen,0,0
Beijing Renhe,Zhejiang Yiteng,3,2
Hangzhou Greentown,Changchun Yatai,1,1
Jiangsu Suning,Guangzhou R&F,1,3
Liaoning,Shanghai Shenhua,1,1
Shandong Luneng,Guangzhou Evergrande,1,1
Shanghai Shenxin,Dalian Yifang F.C.,1,1
Tianjin Jinmen Tiger,Shanghai SIPG,3,3
Hangzhou Greentown,Guangzhou R&F,1,2
Shanghai SIPG,Jiangsu Suning,2,1
Beijing Renhe,Liaoning,0,1
Chongqing Liangjiang Athletic,Beijing Guoan,0,3
Shandong Luneng,Changchun Yatai,2,0
Henan Songshan Longmen,Tianjin Jinmen Tiger,3,1
Shanghai Shenhua,Shanghai Shenxin,6,2
Guangzhou Evergrande,Shijiazhuang,2,1
Liaoning,Shandong Luneng,3,2
Beijing Guoan,Henan Songshan Longmen,1,0
Guangzhou R&F,Shanghai Shenhua,0,1
Chongqing Liangjiang Athletic,Guangzhou Evergrande,1,2
Jiangsu Suning,Beijing Renhe,2,0
Shanghai Shenxin,Shanghai SIPG,0,2
Tianjin Jinmen Tiger,Hangzhou Greentown,0,0
Beijing Renhe,Shanghai Shenxin,2,1
Shijiazhuang,Liaoning,1,1
Hangzhou Greentown,Beijing Guoan,1,1
Shanghai SIPG,Guangzhou R&F,2,1
Shandong Luneng,Jiangsu Suning,5,1
Shanghai Shenhua,Tianjin Jinmen Tiger,1,0
Henan Songshan Longmen,Chongqing Liangjiang Athletic,3,3
Guangzhou Evergrande,Changchun Yatai,1,1
Shanghai Shenxin,Shandong Luneng,1,2
