HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Sp Braga,Moreirense,2,1,1,0,5,3,3,2,0,0
Guimaraes,AVS,4,0,3,0,7,3,0,1,0,0
Casa Pia,Alverca,0,2,0,0,6,4,4,4,1,0
Moreirense,Famalicao,2,2,0,1,5,4,4,5,1,0
Nacional,Benfica,1,2,0,0,2,11,4,2,0,0
Gil Vicente,Tondela,0,1,0,1,12,3,2,0,0,0
Rio Ave,Santa Clara,1,1,1,1,1,5,2,3,0,0
Sp Lisbon,Estrela,4,0,3,0,5,1,1,0,0,0
Porto,Estoril,1,0,1,0,5,4,1,3,0,0
Arouca,Sp Braga,0,4,0,3,0,6,4,0,1,0
Benfica,Sp Lisbon,1,1,1,1,3,2,2,5,1,0
Santa Clara,Casa Pia,1,0,1,0,7,7,5,4,0,0
AVS,Rio Ave,1,2,0,1,3,11,6,6,1,0
Famalicao,Sp Braga,1,2,1,1,3,9,1,3,0,0
Estoril,Moreirense,3,3,1,1,1,5,2,3,0,0
Alverca,Nacional,1,0,0,0,2,2,1,1,0,0
Estrela,Arouca,3,1,2,0,5,3,1,5,0,2
Tondela,Porto,0,2,0,0,2,4,2,1,0,0
Guimaraes,Gil Vicente,0,0,0,0,8,4,4,5,0,0
Casa Pia,Gil Vicente,1,1,0,1,1,8,3,1,0,0
Rio Ave,Guimaraes,0,1,0,1,6,6,4,4,1,0
Sp Lisbon,AVS,6,0,3,0,8,1,1,2,0,0
Famalicao,Estoril,4,0,2,0,4,9,3,1,0,0
Moreirense,Benfica,0,4,0,1,4,4,2,0,0,0
Arouca,Alverca,1,0,0,0,8,5,1,4,0,1
Nacional,Tondela,3,1,0,0,3,10,5,6,1,1
Sp Braga,Santa Clara,1,0,1,0,5,1,1,3,0,0
Porto,Estrela,3,1,1,0,4,0,1,5,0,0
Estoril,Sp Braga,1,0,1,0,9,5,5,2,0,0
Gil Vicente,Rio Ave,2,2,1,1,10,1,3,5,0,1
Estrela,Moreirense,0,0,0,0,3,7,2,1,0,0
AVS,Nacional,2,2,2,0,9,2,1,0,1,0
Tondela,Casa Pia,1,2,0,0,6,4,2,3,0,0
Santa Clara,Arouca,0,0,0,0,2,4,2,2,0,0
Alverca,Porto,0,3,0,1,4,1,1,1,0,0
Benfica,Famalicao,1,0,1,0,5,2,0,1,0,0
Guimaraes,Sp Lisbon,1,4,0,2,2,5,3,5,1,0
Famalicao,Estrela,2,3,2,2,9,4,3,5,0,0
Estoril,Alverca,4,1,2,0,3,7,2,3,0,0
Arouca,Gil Vicente,2,2,2,1,4,8,5,2,0,0
Casa Pia,Guimaraes,0,0,0,0,2,3,4,2,0,0
Sp Braga,Benfica,2,2,2,1,1,5,4,2,1,0
Sp Lisbon,Rio Ave,4,0,1,0,8,1,1,1,0,0
Porto,AVS,2,0,0,0,7,0,1,1,0,0
Gil Vicente,Sp Lisbon,1,1,0,1,8,7,4,4,0,1
Guimaraes,Nacional,2,1,0,0,2,3,1,3,0,0
Tondela,Arouca,3,1,2,1,2,9,3,1,0,0
Benfica,Estoril,3,1,2,1,7,3,0,2,0,0
Estrela,Sp Braga,3,3,1,1,5,7,2,1,0,0
AVS,Moreirense,0,2,0,1,2,4,5,3,0,0
Rio Ave,Casa Pia,3,1,0,0,9,4,0,1,0,0
Santa Clara,Porto,0,1,0,0,2,7,2,4,0,0
Alverca,Famalicao,1,0,0,0,3,4,2,2,0,0
Nacional,Santa Clara,3,3,2,2,2,8,4,4,0,0
Moreirense,Tondela,1,0,0,0,4,2,1,1,0,0
Sp Lisbon,Casa Pia,3,0,2,0,4,6,0,2,0,1
Gil Vicente,Nacional,2,1,1,1,7,5,1,2,0,0
Alverca,Moreirense,2,1,0,0,4,0,3,1,0,0
AVS,Arouca,0,1,0,1,2,3,3,6,1,0
Rio Ave,Benfica,0,2,0,2,3,11,1,2,0,0
Santa Clara,Famalicao,0,1,0,0,9,2,1,1,0,0
Tondela,Sp Braga,0,1,0,0,1,5,3,3,0,1
Guimaraes,Porto,0,1,0,0,6,1,4,2,1,0
Estrela,Estoril,0,5,0,1,1,4,2,2,1,0
Casa Pia,AVS,3,3,1,0,2,11,3,5,0,0
Moreirense,Santa Clara,1,0,0,0,5,5,2,2,0,0
Arouca,Sp Lisbon,1,2,0,1,4,7,3,4,1,1
Estoril,Guimaraes,4,2,1,2,4,2,2,3,0,0
Nacional,Rio Ave,4,0,1,0,5,5,3,0,0,0
Benfica,Estrela,4,0,1,0,6,1,3,4,0,0
Famalicao,Tondela,3,0,1,0,3,4,0,1,0,0
Sp Braga,Alverca,5,0,4,0,7,0,2,2,0,0
Porto,Gil Vicente,3,0,1,0,11,3,2,3,0,1
Guimaraes,Moreirense,1,0,0,0,5,5,2,5,0,0
Santa Clara,Estoril,2,4,0,2,6,5,7,3,0,0
Rio Ave,Arouca,0,3,0,1,5,5,2,1,0,0
Alverca,Estrela,1,1,0,0,9,2,1,2,0,0
Gil Vicente,Famalicao,5,0,1,0,3,1,1,1,0,1
Sp Lisbon,Nacional,2,1,0,0,11,0,0,3,0,0
Tondela,Benfica,0,0,0,0,1,13,5,0,0,0
AVS,Sp Braga,0,4,0,2,1,4,0,1,0,0
Casa Pia,Porto,2,1,2,0,0,10,3,2,0,1
Estrela,Santa Clara,1,0,0,0,3,6,4,1,0,0
Moreirense,Gil Vicente,1,2,0,1,3,6,3,1,1,0
Estoril,Tondela,2,2,2,2,5,4,1,0,0,0
Arouca,Guimaraes,3,2,1,2,1,6,1,4,0,0
Nacional,Casa Pia,0,0,0,0,12,1,2,3,0,0
Sp Braga,Rio Ave,3,0,1,0,9,1,1,1,0,0
Benfica,Alverca,2,1,1,1,9,1,3,2,0,0
Famalicao,AVS,3,1,0,0,7,2,3,2,0,0
Porto,Sp Lisbon,1,1,0,0,1,8,3,5,0,0
Santa Clara,Benfica,1,2,0,2,1,7,6,2,1,0
Tondela,Alverca,1,1,0,1,11,5,5,5,0,1
Casa Pia,Arouca,3,2,3,2,2,3,5,2,0,0
Guimaraes,Estrela,2,1,0,1,9,2,3,2,0,0
Gil Vicente,Sp Braga,2,1,0,1,5,6,2,1,0,0
Nacional,Porto,0,1,0,0,5,8,4,0,0,0
AVS,Estoril,3,0,0,0,9,9,2,2,0,0
Sp Lisbon,Famalicao,1,0,0,0,14,1,3,2,0,0
Rio Ave,Moreirense,1,2,1,1,7,1,1,3,0,0
Estrela,Tondela,0,2,0,1,5,3,2,3,1,0
Alverca,Santa Clara,1,1,1,0,5,2,2,2,0,0
Arouca,Nacional,3,0,0,0,4,1,5,3,1,1
Benfica,AVS,3,0,3,0,10,1,0,0,0,0
Moreirense,Sp Lisbon,0,3,0,0,1,8,1,1,0,0
Sp Braga,Guimaraes,3,2,2,1,0,2,2,3,0,0
Estoril,Gil Vicente,3,1,1,1,1,4,0,0,0,0
Porto,Rio Ave,1,0,1,0,10,1,2,3,0,0
Famalicao,Casa Pia,2,0,1,0,7,7,3,2,0,0
Porto,Arouca,3,1,1,0,5,1,0,2,0,0
Sp Lisbon,Estoril,3,0,2,0,4,1,2,3,0,0
AVS,Estrela,0,0,0,0,7,9,2,1,0,0
Nacional,Sp Braga,1,2,0,1,3,6,2,3,0,0
Guimaraes,Alverca,1,1,0,0,0,11,1,2,0,0
Tondela,Santa Clara,2,2,1,1,4,7,3,2,0,0
Casa Pia,Moreirense,1,1,1,0,1,7,2,3,0,0
Rio Ave,Famalicao,0,0,0,0,5,5,4,2,0,0
Gil Vicente,Benfica,1,2,0,1,5,3,2,3,0,0
Famalicao,Arouca,1,0,0,0,5,1,1,1,0,0
Alverca,AVS,0,0,0,0,8,0,1,3,0,0
Moreirense,Nacional,1,1,1,0,4,7,4,2,0,0
Sp Braga,Sp Lisbon,2,2,1,2,6,5,3,3,0,0
