HomeTeam,AwayTeam,FTHG,FTAG
Poli Iasi,Din. Bucuresti,1,1
Viitorul Constanta,Concordia,1,1
CS Turnu Severin,FC Brasov,2,1
FCSB,Astra,2,0
Gaz Metan Medias,Bistrita,3,1
Concordia,CS Turnu Severin,1,1
Ceahlaul,Pandurii,0,1
Poli Iasi,FC Rapid Bucuresti,0,1
Otelul,Petrolul,0,1
Din. Bucuresti,FC Brasov,2,1
Astra,Viitorul Constanta,2,0
U. Cluj,FCSB,0,1
Vaslui,CFR Cluj,0,0
Bistrita,Ceahlaul,0,0
FCSB,Gaz Metan Medias,3,0
Viitorul Constanta,U. Cluj,1,1
CFR Cluj,Otelul,0,1
Petrolul,Poli Iasi,2,1
FC Rapid Bucuresti,Din. Bucuresti,0,1
FC Brasov,Concordia,3,2
Pandurii,Vaslui,2,1
CS Turnu Severin,Astra,0,0
Gaz Metan Medias,Viitorul Constanta,4,1
Astra,FC Brasov,3,0
Poli Iasi,CFR Cluj,1,1
FC Rapid Bucuresti,Petrolul,0,0
Otelul,Pandurii,1,0
Ceahlaul,FCSB,3,4
U. Cluj,CS Turnu Severin,1,0
Din. Bucuresti,Concordia,2,0
Vaslui,Bistrita,1,1
Concordia,Astra,0,2
CS Turnu Severin,Gaz Metan Medias,2,0
Bistrita,Otelul,2,1
Pandurii,Poli Iasi,3,1
Petrolul,Din. Bucuresti,2,1
Viitorul Constanta,Ceahlaul,2,2
FCSB,Vaslui,1,0
FC Brasov,U. Cluj,0,0
CFR Cluj,FC Rapid Bucuresti,0,0
U. Cluj,Concordia,1,0
Gaz Metan Medias,FC Brasov,0,0
FC Rapid Bucuresti,Pandurii,2,0
Ceahlaul,CS Turnu Severin,1,0
Petrolul,CFR Cluj,1,1
Din. Bucuresti,Astra,1,0
Poli Iasi,Bistrita,2,1
Vaslui,Viitorul Constanta,3,2
Otelul,FCSB,1,1
Astra,U. Cluj,1,2
FC Brasov,Ceahlaul,1,0
CS Turnu Severin,Vaslui,2,0
Pandurii,Petrolul,1,3
CFR Cluj,Din. Bucuresti,0,1
Bistrita,FC Rapid Bucuresti,0,1
FCSB,Poli Iasi,3,1
Concordia,Gaz Metan Medias,0,1
Viitorul Constanta,Otelul,0,0
Gaz Metan Medias,Astra,2,1
CFR Cluj,Pandurii,2,3
Otelul,CS Turnu Severin,2,0
Ceahlaul,Concordia,3,0
Petrolul,Bistrita,4,0
Din. Bucuresti,U. Cluj,1,1
FC Rapid Bucuresti,FCSB,1,1
Vaslui,FC Brasov,1,1
Poli Iasi,Viitorul Constanta,1,2
U. Cluj,Gaz Metan Medias,3,4
CS Turnu Severin,Poli Iasi,2,1
Viitorul Constanta,FC Rapid Bucuresti,1,2
Astra,Ceahlaul,4,2
Bistrita,CFR Cluj,0,5
Concordia,Vaslui,1,1
Pandurii,Din. Bucuresti,2,0
FC Brasov,Otelul,3,2
FCSB,Petrolul,2,2
Ceahlaul,U. Cluj,2,1
FC Rapid Bucuresti,CS Turnu Severin,1,0
Petrolul,Viitorul Constanta,3,0
Vaslui,Astra,2,1
Din. Bucuresti,Gaz Metan Medias,2,0
CFR Cluj,FCSB,0,0
Otelul,Concordia,2,1
Pandurii,Bistrita,4,0
Poli Iasi,FC Brasov,1,2
Gaz Metan Medias,Ceahlaul,3,1
FCSB,Pandurii,2,0
Bistrita,Din. Bucuresti,1,2
FC Brasov,FC Rapid Bucuresti,2,0
Astra,Otelul,0,0
CS Turnu Severin,Petrolul,2,2
U. Cluj,Vaslui,2,1
Viitorul Constanta,CFR Cluj,0,2
Concordia,Poli Iasi,1,1
Din. Bucuresti,Ceahlaul,1,1
Vaslui,Gaz Metan Medias,1,1
Bistrita,FCSB,0,1
Otelul,U. Cluj,0,2
Petrolul,FC Brasov,6,4
CFR Cluj,CS Turnu Severin,1,3
FC Rapid Bucuresti,Concordia,0,0
Poli Iasi,Astra,0,2
Pandurii,Viitorul Constanta,4,1
Din. Bucuresti,FCSB,0,2
Gaz Metan Medias,Otelul,1,2
Ceahlaul,Vaslui,0,2
Concordia,Petrolul,1,1
CS Turnu Severin,Pandurii,1,3
Astra,FC Rapid Bucuresti,3,2
U. Cluj,Poli Iasi,0,2
FC Brasov,CFR Cluj,0,0
Viitorul Constanta,Bistrita,2,0
CFR Cluj,Concordia,1,1
Otelul,Ceahlaul,3,2
Pandurii,FC Brasov,2,3
Petrolul,Astra,1,1
Vaslui,Din. Bucuresti,4,1
FCSB,Viitorul Constanta,2,5
Bistrita,CS Turnu Severin,0,0
FC Rapid Bucuresti,U. Cluj,1,4
Poli Iasi,Gaz Metan Medias,0,2
FC Brasov,Bistrita,4,1
Vaslui,Otelul,1,0
Din. Bucuresti,Viitorul Constanta,2,3
Gaz Metan Medias,FC Rapid Bucuresti,1,1
U. Cluj,Petrolul,2,4
CS Turnu Severin,FCSB,1,1
Astra,CFR Cluj,3,3
Concordia,Pandurii,0,1
Ceahlaul,Poli Iasi,1,0
FCSB,FC Brasov,4,0
Otelul,Din. Bucuresti,0,1
CFR Cluj,U. Cluj,3,1
Pandurii,Astra,1,1
Petrolul,Gaz Metan Medias,1,1
Poli Iasi,Vaslui,1,2
FC Rapid Bucuresti,Ceahlaul,2,0
Viitorul Constanta,CS Turnu Severin,3,4
Bistrita,Concordia,1,3
FC Rapid Bucuresti,Concordia,1,1
Poli Timisoara,Din. Bucuresti,2,0
Navodari,Gaz Metan Medias,1,0
Pandurii,FC Brasov,3,1
FCSB,Ceahlaul,2,1
FC Botosani,CFR Cluj,0,0
U. Cluj,Petrolul,0,1
Viitorul Constanta,Astra,0,4
Corona Brasov,Otelul,0,1
Gaz Metan Medias,FC Botosani,1,2
Ceahlaul,Corona Brasov,3,0
Otelul,U. Cluj,2,1
CFR Cluj,Poli Timisoara,2,2
Din. Bucuresti,Vaslui,2,0
FC Brasov,Navodari,1,1
Petrolul,Pandurii,1,1
U. Cluj,Ceahlaul,1,1
FC Botosani,Navodari,1,1
Corona Brasov,Astra,2,5
Petrolul,FC Brasov,0,0
Pandurii,Otelul,2,1
Poli Timisoara,Gaz Metan Medias,2,1
Viitorul Constanta,Din. Bucuresti,0,0
Vaslui,CFR Cluj,4,0
FC Brasov,FC Botosani,1,2
Concordia,Corona Brasov,1,0
CFR Cluj,Viitorul Constanta,2,1
Navodari,Poli Timisoara,1,2
Otelul,Petrolul,1,2
Astra,U. Cluj,3,1
Ceahlaul,Pandurii,1,0
Din. Bucuresti,FCSB,1,2
Gaz Metan Medias,Vaslui,1,1
Otelul,FC Brasov,1,0
Poli Timisoara,FC Botosani,0,1
Corona Brasov,Din. Bucuresti,1,1
Pandurii,Astra,1,3
Petrolul,Ceahlaul,1,1
FCSB,CFR Cluj,3,0
Viitorul Constanta,Gaz Metan Medias,0,0
U. Cluj,Concordia,0,3
Vaslui,Navodari,1,0
Navodari,Viitorul Constanta,3,1
FC Brasov,Poli Timisoara,2,1
Din. Bucuresti,U. Cluj,6,0
Ceahlaul,Otelul,2,0
Gaz Metan Medias,FCSB,2,2
FC Botosani,Vaslui,1,0
Concordia,Pandurii,1,5
Astra,Petrolul,1,2
CFR Cluj,Corona Brasov,1,0
Pandurii,Din. Bucuresti,2,1
FCSB,Navodari,5,0
Corona Brasov,Gaz Metan Medias,1,2
Otelul,Astra,0,4
Petrolul,Concordia,2,0
U. Cluj,CFR Cluj,0,0
Ceahlaul,FC Brasov,1,1
Viitorul Constanta,FC Botosani,0,0
Vaslui,Poli Timisoara,1,0
Gaz Metan Medias,U. Cluj,2,1
Navodari,Corona Brasov,1,0
Poli Timisoara,Viitorul Constanta,0,0
FC Brasov,Vaslui,1,1
Din. Bucuresti,Petrolul,1,1
FC Botosani,FCSB,1,2
CFR Cluj,Pandurii,1,1
Concordia,Otelul,1,1
Astra,Ceahlaul,0,0
U. Cluj,Navodari,1,1
Pandurii,Gaz Metan Medias,1,2
FCSB,Poli Timisoara,3,0
Corona Brasov,FC Botosani,1,2
Viitorul Constanta,Vaslui,2,0
Otelul,Din. Bucuresti,1,2
Astra,FC Brasov,3,0
Ceahlaul,Concordia,3,1
Petrolul,CFR Cluj,3,2
FC Brasov,Viitorul Constanta,4,0
Poli Timisoara,Corona Brasov,0,0
Concordia,Astra,3,1
Vaslui,FCSB,0,1
Din. Bucuresti,Ceahlaul,1,1
Navodari,Pandurii,0,4
Gaz Metan Medias,Petrolul,1,0
FC Botosani,U. Cluj,1,1
CFR Cluj,Otelul,7,2
Corona Brasov,Vaslui,2,1
FCSB,Viitorul Constanta,4,0
Otelul,Gaz Metan Medias,1,1
Petrolul,Navodari,3,0
Pandurii,FC Botosani,6,1
Ceahlaul,CFR Cluj,0,1
Astra,Din. Bucuresti,2,1
Concordia,FC Brasov,1,0
U. Cluj,Poli Timisoara,1,2
Viitorul Constanta,Corona Brasov,1,0
Vaslui,U. Cluj,2,0
FC Botosani,Petrolul,1,2
Gaz Metan Medias,Ceahlaul,3,1
CFR Cluj,Astra,0,0
Poli Timisoara,Pandurii,2,3
FC Brasov,FCSB,1,2
Din. Bucuresti,Concordia,2,1
Navodari,Otelul,2,1
Ceahlaul,Navodari,2,1
Pandurii,Vaslui,1,2
Corona Brasov,FCSB,1,1
Concordia,CFR Cluj,0,0
Astra,Gaz Metan Medias,3,1
Din. Bucuresti,FC Brasov,2,1
U. Cluj,Viitorul Constanta,3,1
Petrolul,Poli Timisoara,0,0
Otelul,FC Botosani,2,1
Navodari,Astra,3,4
Vaslui,Petrolul,1,1
CFR Cluj,Din. Bucuresti,1,0
FC Botosani,Ceahlaul,0,1
Viitorul Constanta,Pandurii,0,1
Gaz Metan Medias,Concordia,1,0
Poli Timisoara,Otelul,1,0
Corona Brasov,FC Brasov,1,2
Concordia,Navodari,4,0
Ceahlaul,Poli Timisoara,1,0
Otelul,Vaslui,1,2
Pandurii,FCSB,1,1
Astra,FC Botosani,5,0
Din. Bucuresti,Gaz Metan Medias,1,0
U. Cluj,Corona Brasov,3,2
FC Brasov,CFR Cluj,0,0
Petrolul,Viitorul Constanta,3,0
Vaslui,Concordia,0,0
