HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Preußen Münster,Holstein Kiel,2,1,0,1,4,7,5,4,0,0
Hertha,Dresden,2,0,2,0,3,5,0,0,0,0
Karlsruhe,Schalke 04,2,1,0,0,2,7,4,5,0,0
Nurnberg,Braunschweig,2,1,2,1,1,9,2,3,0,1
Darmstadt,Bielefeld,2,2,2,1,9,9,4,1,0,0
Bochum,Magdeburg,2,0,1,0,8,7,2,4,0,0
Fortuna Dusseldorf,Kaiserslautern,1,1,0,0,2,4,4,2,0,0
Paderborn,Greuther Furth,2,1,1,0,5,5,1,3,0,0
Dresden,Nurnberg,1,2,1,1,5,5,3,3,0,0
Greuther Furth,Preußen Münster,1,0,0,0,4,7,1,4,0,0
Bielefeld,Karlsruhe,4,0,1,0,3,5,0,2,0,0
Hannover,Darmstadt,2,3,2,1,5,5,2,1,0,0
Schalke 04,Elversberg,1,0,1,0,1,5,4,2,0,0
Kaiserslautern,Hertha,0,1,0,1,7,4,2,3,0,0
Braunschweig,Bochum,0,2,0,1,10,9,3,3,0,0
Holstein Kiel,Fortuna Dusseldorf,1,0,0,0,3,5,1,3,0,0
Magdeburg,Paderborn,0,1,0,1,3,5,4,4,0,0
Bochum,Dresden,1,2,0,2,13,8,0,3,0,0
Hertha,Braunschweig,1,0,0,0,6,5,1,3,0,0
Fortuna Dusseldorf,Magdeburg,2,1,1,0,3,11,4,1,0,0
Paderborn,Hannover,0,2,0,2,11,4,0,1,0,0
Preußen Münster,Schalke 04,0,0,0,0,4,6,1,5,1,0
Darmstadt,Greuther Furth,4,2,1,1,5,2,2,3,0,0
Kaiserslautern,Holstein Kiel,4,1,4,1,10,3,2,5,0,1
Karlsruhe,Elversberg,2,3,0,1,4,9,3,1,0,0
Nurnberg,Bielefeld,2,0,0,0,6,13,3,3,0,0
Hannover,Karlsruhe,3,0,0,0,4,1,2,1,0,0
Schalke 04,Paderborn,2,1,1,1,3,3,2,4,0,0
Braunschweig,Kaiserslautern,2,0,1,0,5,6,2,5,0,0
Greuther Furth,Bochum,0,3,0,3,6,9,2,0,0,0
Holstein Kiel,Hertha,0,1,0,0,8,3,2,6,0,0
Magdeburg,Nurnberg,3,0,0,0,6,5,3,3,0,1
Bielefeld,Preußen Münster,1,2,1,1,13,2,3,6,0,0
Dresden,Fortuna Dusseldorf,2,1,1,0,4,0,1,2,0,0
Elversberg,Darmstadt,0,0,0,0,6,5,0,1,0,0
Fortuna Dusseldorf,Schalke 04,0,2,0,1,1,4,7,1,1,0
Preußen Münster,Hannover,2,2,0,1,5,2,4,3,0,0
Bochum,Bielefeld,1,0,0,0,4,5,5,2,0,0
Kaiserslautern,Dresden,3,1,1,0,7,3,3,4,0,0
Paderborn,Elversberg,1,2,0,1,3,10,4,1,1,0
Darmstadt,Karlsruhe,3,2,1,1,8,9,1,2,0,0
Braunschweig,Holstein Kiel,1,1,1,1,2,4,1,5,1,1
Hertha,Magdeburg,0,2,0,0,7,5,0,3,0,0
Nurnberg,Greuther Furth,2,2,0,0,5,3,2,3,0,0
Dresden,Braunschweig,2,3,0,2,7,8,3,4,0,0
Greuther Furth,Hertha,3,3,1,2,2,4,2,3,0,0
