HomeTeam,AwayTeam,FTHG,FTAG
Sion,Basel,1,3
St. Gallen,Young Boys,0,0
Luzern,Grasshoppers,0,2
Sion,Lausanne,2,1
Thun,Basel,0,2
Zurich,Aarau,1,2
Basel,Sion,2,2
Grasshoppers,St. Gallen,0,1
Aarau,Lausanne,2,3
Luzern,Thun,1,1
Young Boys,Zurich,0,1
Sion,Young Boys,2,2
Zurich,Luzern,0,2
St. Gallen,Aarau,1,0
Thun,Grasshoppers,1,1
Lausanne,Basel,1,2
Basel,St. Gallen,3,0
Thun,Sion,1,0
Aarau,Zurich,5,1
Grasshoppers,Lausanne,2,0
Luzern,Young Boys,1,1
Lausanne,Luzern,0,1
Young Boys,Aarau,3,0
Sion,Grasshoppers,2,0
St. Gallen,Thun,0,0
Zurich,Basel,0,0
Aarau,St. Gallen,2,2
Grasshoppers,Zurich,3,1
Aarau,Basel,1,1
Sion,Luzern,3,0
Lausanne,St. Gallen,0,3
Thun,Zurich,2,1
Grasshoppers,Young Boys,0,1
Basel,Thun,4,1
Young Boys,Lausanne,3,2
Aarau,Grasshoppers,2,4
Zurich,Sion,4,1
Luzern,St. Gallen,3,1
Grasshoppers,Luzern,1,2
Lausanne,Thun,0,2
St. Gallen,Zurich,2,1
Young Boys,Basel,2,2
Basel,Grasshoppers,1,1
Zurich,Lausanne,4,0
Luzern,Aarau,1,0
St. Gallen,Sion,2,0
Thun,Young Boys,1,0
Basel,Luzern,1,1
Lausanne,Sion,3,1
Aarau,Thun,2,1
Young Boys,St. Gallen,1,0
Zurich,Grasshoppers,1,1
Aarau,St. Gallen,1,1
Zurich,Sion,1,0
Lausanne,Basel,1,3
Luzern,Grasshoppers,1,3
Young Boys,Thun,2,1
Basel,Young Boys,3,2
Thun,Luzern,2,1
Grasshoppers,Aarau,1,2
Sion,Lausanne,1,2
St. Gallen,Zurich,0,2
Basel,Sion,1,0
Luzern,Aarau,3,2
St. Gallen,Grasshoppers,1,5
Zurich,Thun,3,1
Young Boys,Lausanne,5,3
Aarau,Zurich,1,2
Thun,Sion,3,1
Lausanne,St. Gallen,3,0
Luzern,Young Boys,1,2
Grasshoppers,Basel,1,1
Sion,Young Boys,3,0
Lausanne,Aarau,0,1
Zurich,Grasshoppers,3,1
Thun,Basel,2,2
St. Gallen,Luzern,1,1
Basel,St. Gallen,1,1
Grasshoppers,Lausanne,2,1
Aarau,Thun,1,4
Young Boys,Zurich,1,3
Sion,Luzern,3,2
Sion,Aarau,1,2
St. Gallen,Young Boys,1,1
Thun,Lausanne,2,2
Grasshoppers,Sion,4,2
Luzern,Zurich,1,0
Basel,Aarau,5,0
Aarau,Sion,2,0
St. Gallen,Thun,1,0
Lausanne,Luzern,1,0
Young Boys,Grasshoppers,0,4
Zurich,Basel,0,0
Aarau,Young Boys,2,1
Sion,St. Gallen,1,1
Thun,Grasshoppers,1,3
Zurich,Lausanne,0,3
Luzern,Basel,0,2
Grasshoppers,Zurich,2,0
St. Gallen,Aarau,4,1
Basel,Thun,0,0
Lausanne,Sion,0,1
Young Boys,Luzern,2,1
Lausanne,Grasshoppers,0,2
Thun,Aarau,2,0
Luzern,St. Gallen,1,0
Sion,Basel,0,1
Zurich,Young Boys,2,2
Aarau,Luzern,1,2
Grasshoppers,Thun,0,5
Basel,Zurich,4,2
St. Gallen,Lausanne,0,0
Young Boys,Sion,0,0
Sion,Aarau,2,0
Zurich,Luzern,1,2
Lausanne,Young Boys,0,1
Thun,St. Gallen,4,0
Basel,Grasshoppers,1,1
Luzern,Sion,0,1
Thun,Zurich,1,2
Aarau,Lausanne,3,1
St. Gallen,Basel,0,3
Grasshoppers,Young Boys,5,0
Sion,Zurich,1,0
Grasshoppers,St. Gallen,2,0
Young Boys,Aarau,2,2
Basel,Luzern,3,1
Lausanne,Thun,1,3
Aarau,Grasshoppers,4,0
Zurich,St. Gallen,2,2
Luzern,Lausanne,3,4
Sion,Thun,3,1
Young Boys,Basel,3,1
Aarau,Basel,1,3
Grasshoppers,Luzern,4,1
Lausanne,Zurich,0,1
St. Gallen,Sion,2,0
Thun,Young Boys,0,3
Basel,Lausanne,4,2
Luzern,Thun,3,0
Sion,Grasshoppers,3,1
Young Boys,St. Gallen,2,0
Zurich,Aarau,2,2
Aarau,Basel,1,2
St. Gallen,Young Boys,2,2
Luzern,Sion,1,1
Thun,Vaduz,1,0
Zurich,Grasshoppers,1,0
Aarau,Sion,1,0
Zurich,Thun,2,1
Grasshoppers,Thun,2,3
Sion,St. Gallen,1,0
Vaduz,Zurich,1,4
Young Boys,Aarau,1,1
Basel,Luzern,3,0
Thun,Basel,2,3
Grasshoppers,Sion,0,0
