HomeTeam,AwayTeam,FTHG,FTAG
HJK,MyPa,2,0
Inter Turku,Jaro,1,0
Inter Turku,HJK,2,2
Jaro,HJK,2,3
Lahti,KuPS,1,0
Mariehamn,Inter Turku,1,2
MyPa,Honka,1,0
TPS,JJK Jyvaskyla,1,0
VPS,Rovaniemi,3,1
HJK,Mariehamn,0,0
Honka,Rovaniemi,2,0
Inter Turku,Lahti,2,0
JJK Jyvaskyla,VPS,0,1
KuPS,TPS,4,1
MyPa,Jaro,1,2
Jaro,Honka,2,2
Mariehamn,MyPa,0,4
Rovaniemi,JJK Jyvaskyla,4,0
VPS,KuPS,1,2
Lahti,HJK,0,1
TPS,Inter Turku,2,1
HJK,TPS,0,2
Honka,JJK Jyvaskyla,3,2
Inter Turku,VPS,0,0
KuPS,Rovaniemi,1,0
Mariehamn,Jaro,1,0
MyPa,Lahti,2,0
HJK,VPS,1,2
Honka,Mariehamn,2,1
JJK Jyvaskyla,KuPS,0,0
Lahti,Jaro,1,2
Rovaniemi,Inter Turku,1,0
HJK,Rovaniemi,2,0
Inter Turku,JJK Jyvaskyla,3,1
Jaro,TPS,1,1
KuPS,Honka,1,2
MyPa,VPS,3,0
Mariehamn,Lahti,2,2
Honka,Lahti,1,0
JJK Jyvaskyla,HJK,1,3
KuPS,Inter Turku,1,1
Rovaniemi,MyPa,2,1
TPS,Mariehamn,2,4
VPS,Jaro,2,1
HJK,KuPS,1,2
Inter Turku,Honka,0,1
Jaro,Rovaniemi,2,1
Lahti,TPS,0,1
Mariehamn,VPS,0,1
MyPa,JJK Jyvaskyla,0,1
HJK,Inter Turku,6,0
Jaro,JJK Jyvaskyla,3,0
Lahti,VPS,0,2
Mariehamn,Rovaniemi,1,0
MyPa,KuPS,2,0
TPS,Honka,2,0
Honka,HJK,1,0
Inter Turku,MyPa,0,0
JJK Jyvaskyla,Mariehamn,3,2
KuPS,Jaro,3,0
Lahti,Rovaniemi,0,0
VPS,TPS,0,0
Jaro,Inter Turku,0,0
Lahti,JJK Jyvaskyla,2,1
Mariehamn,KuPS,4,2
MyPa,HJK,2,4
TPS,Rovaniemi,2,1
VPS,Honka,1,1
HJK,Jaro,0,0
Honka,MyPa,2,0
Inter Turku,Mariehamn,0,2
JJK Jyvaskyla,TPS,1,1
KuPS,Lahti,0,1
Rovaniemi,VPS,0,0
Jaro,MyPa,2,0
Lahti,Inter Turku,1,0
Rovaniemi,Honka,0,1
TPS,KuPS,0,0
VPS,JJK Jyvaskyla,1,0
Mariehamn,HJK,0,5
Honka,Jaro,4,2
Inter Turku,TPS,1,1
JJK Jyvaskyla,Rovaniemi,1,1
KuPS,VPS,1,0
MyPa,Mariehamn,3,1
HJK,Lahti,2,1
Rovaniemi,KuPS,1,0
JJK Jyvaskyla,Honka,1,0
Mariehamn,Jaro,0,0
VPS,Inter Turku,1,2
Lahti,MyPa,3,0
HJK,VPS,3,0
Jaro,Lahti,7,1
Inter Turku,Rovaniemi,0,0
Mariehamn,Honka,1,4
MyPa,TPS,2,1
KuPS,JJK Jyvaskyla,2,1
VPS,MyPa,4,1
Rovaniemi,HJK,0,0
Lahti,Mariehamn,2,1
Honka,KuPS,1,0
JJK Jyvaskyla,Inter Turku,2,0
TPS,Jaro,2,2
HJK,JJK Jyvaskyla,2,0
Jaro,VPS,2,1
Inter Turku,KuPS,2,2
Lahti,Honka,0,1
Mariehamn,TPS,2,0
MyPa,Rovaniemi,0,1
JJK Jyvaskyla,Jaro,0,0
VPS,Lahti,0,3
Rovaniemi,Jaro,0,0
KuPS,HJK,0,0
Honka,Inter Turku,0,0
VPS,Mariehamn,2,2
JJK Jyvaskyla,MyPa,0,3
TPS,Lahti,1,2
JJK Jyvaskyla,Jaro,0,0
KuPS,MyPa,0,2
Honka,TPS,2,1
Inter Turku,HJK,1,1
Rovaniemi,Mariehamn,0,2
VPS,Lahti,3,1
HJK,Honka,4,2
MyPa,Inter Turku,1,1
TPS,VPS,2,1
Jaro,KuPS,2,2
Lahti,Rovaniemi,2,3
Mariehamn,JJK Jyvaskyla,4,1
HJK,MyPa,2,1
Honka,VPS,3,0
JJK Jyvaskyla,Lahti,2,3
KuPS,Mariehamn,3,2
Rovaniemi,TPS,1,1
Inter Turku,Jaro,1,0
TPS,MyPa,1,2
Lahti,KuPS,2,0
TPS,JJK Jyvaskyla,2,2
Jaro,HJK,1,5
Mariehamn,Inter Turku,1,1
MyPa,Honka,0,0
VPS,Rovaniemi,1,1
JJK Jyvaskyla,VPS,1,3
MyPa,Jaro,1,0
HJK,Mariehamn,6,1
Honka,Rovaniemi,0,0
Inter Turku,Lahti,1,3
KuPS,TPS,1,1
Jaro,Honka,1,3
Lahti,HJK,0,2
Mariehamn,MyPa,3,2
Rovaniemi,JJK Jyvaskyla,1,1
TPS,Inter Turku,1,1
VPS,KuPS,2,1
Inter Turku,VPS,1,2
Jaro,Mariehamn,1,2
HJK,TPS,3,1
KuPS,Rovaniemi,2,0
MyPa,Lahti,0,1
Honka,JJK Jyvaskyla,3,3
TPS,HJK,0,3
Lahti,Jaro,5,2
Mariehamn,Honka,3,2
TPS,MyPa,2,1
VPS,HJK,1,1
JJK Jyvaskyla,KuPS,0,4
Rovaniemi,Inter Turku,1,2
Lahti,Mariehamn,5,1
Inter Turku,JJK Jyvaskyla,2,0
HJK,Rovaniemi,3,0
Honka,KuPS,2,4
Jaro,TPS,0,3
MyPa,VPS,1,1
Honka,Lahti,4,2
JJK Jyvaskyla,HJK,0,5
KuPS,Inter Turku,1,2
