HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Valencia,Las Palmas,2,3,1,1,11,2,4,9,1,0
Espanol,Sevilla,0,2,0,2,13,2,2,0,0,0
Valladolid,Villarreal,1,2,0,1,4,6,4,3,0,0
Vallecano,Alaves,1,0,0,0,6,2,2,4,1,0
Las Palmas,Girona,1,0,1,0,3,5,4,5,0,1
Real Madrid,Barcelona,0,4,0,0,10,3,2,5,0,0
Leganes,Celta,3,0,0,0,4,2,2,2,0,0
Getafe,Valencia,1,1,0,1,8,2,3,7,0,0
Betis,Ath Madrid,1,0,1,0,3,10,3,2,0,0
Sociedad,Osasuna,0,2,0,2,14,4,3,4,0,0
Mallorca,Ath Bilbao,0,0,0,0,1,14,5,1,1,0
Alaves,Mallorca,1,0,0,0,7,2,3,2,0,0
Osasuna,Valladolid,1,0,1,0,7,2,1,5,0,0
Girona,Leganes,4,3,2,2,6,1,2,4,0,0
Ath Madrid,Las Palmas,2,0,1,0,9,1,1,1,0,0
Barcelona,Espanol,3,1,3,0,9,5,0,3,0,0
Sevilla,Sociedad,0,2,0,1,5,9,2,1,0,0
Ath Bilbao,Betis,1,1,0,0,6,2,0,0,0,0
Celta,Getafe,1,0,1,0,0,2,1,4,0,1
Vallecano,Las Palmas,1,3,0,1,12,4,1,3,0,0
Real Madrid,Osasuna,4,0,2,0,11,3,0,2,0,0
Villarreal,Alaves,3,0,1,0,7,2,1,3,0,0
Leganes,Sevilla,1,0,0,0,0,6,2,1,0,1
Betis,Celta,2,2,1,1,2,0,3,0,0,0
Mallorca,Ath Madrid,0,1,0,0,7,2,1,3,0,0
Getafe,Girona,0,1,0,1,5,2,3,3,0,0
Valladolid,Ath Bilbao,1,1,0,0,5,5,4,4,0,0
Sociedad,Barcelona,1,0,1,0,7,6,3,1,0,0
Getafe,Valladolid,2,0,0,0,3,2,3,2,0,0
Valencia,Betis,4,2,1,1,2,4,4,2,0,0
Ath Madrid,Alaves,2,1,0,1,5,0,3,3,0,0
Girona,Espanol,4,1,4,0,6,3,0,3,0,0
Las Palmas,Mallorca,2,3,0,0,4,3,4,2,0,1
Celta,Barcelona,2,2,0,1,5,1,5,5,0,1
Osasuna,Villarreal,2,2,2,0,0,8,6,5,0,0
Sevilla,Vallecano,1,0,1,0,8,3,2,5,0,1
Leganes,Real Madrid,0,3,0,1,2,4,2,0,0,0
Ath Bilbao,Sociedad,1,0,1,0,4,4,3,4,0,0
Mallorca,Valencia,2,1,1,1,3,6,0,0,0,0
